Whirlpool Price to Free Cash Flow Ratio Historical Data,Whirlpool Price to Free Cash Flow Ratio Historical Data,Whirlpool Price to Free Cash Flow Ratio Historical Data,Whirlpool Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,94.15,,10.83
2024-12-31,114.48,$8.69,13.17
2024-09-30,105.36,$9.69,10.87
2024-06-30,98.91,$5.08,19.46
2024-03-31,113.61,$-0.73,0.0
2023-12-31,113.79,$6.81,16.71
2023-09-30,123.02,$3.33,36.96
2023-06-30,135.14,$11.33,11.93
2023-03-31,118.35,$11.38,10.4
2022-12-31,125.22,$16.05,7.8
2022-09-30,117.94,$11.47,10.28
2022-06-30,134.1,$13.33,10.06
2022-03-31,148.09,$23.34,6.35
2021-12-31,199.37,$31.05,6.42
2021-09-30,172.16,$37.48,4.59
2021-06-30,182.95,$45.73,4.0
2021-03-31,183.82,$35.50,5.18
2020-12-31,149.58,$19.84,7.54
2020-09-30,151.41,$29.53,5.13
2020-06-30,105.94,$30.99,3.42
2020-03-31,69.4,$30.58,2.27
2019-12-31,118.25,$29.16,4.06
2019-09-30,125.93,$28.47,4.42
2019-06-30,112.22,$7.00,16.02
2019-03-31,103.8,$7.45,13.94
2018-12-31,82.8,$11.89,6.96
2018-09-30,91.08,$-0.05,0.0
2018-06-30,111.15,$3.03,36.64
2018-03-31,115.56,$4.74,24.4
2017-12-31,126.41,$8.62,14.67
2017-09-30,137.33,$8.70,15.79
2017-06-30,141.75,$9.79,14.49
2017-03-31,125.98,$10.48,12.02
2016-12-31,132.91,$7.85,16.93
2016-09-30,117.84,$7.38,15.96
2016-06-30,120.44,$7.85,15.33
2016-03-31,129.56,$5.99,21.64
2015-12-31,104.89,$7.19,14.59
2015-09-30,104.58,$10.05,10.41
2015-06-30,122.24,$9.73,12.57
2015-03-31,142.05,$7.27,19.55
2014-12-31,135.72,$9.80,13.85
2014-09-30,101.61,$2.75,37.01
2014-06-30,96.65,$5.32,18.15
2014-03-31,103.22,$7.46,13.84
2013-12-31,107.86,$8.54,12.63
2013-09-30,100.26,$7.50,13.37
2013-06-30,77.92,$5.15,15.12
2013-03-31,80.32,$4.80,16.73
2012-12-31,68.68,$2.90,23.68
2012-09-30,55.67,$3.27,17.01
2012-06-30,40.8,$-1.40,0.0
2012-03-31,50.86,$-2.95,0.0
2011-12-31,31.19,$-0.70,0.0
2011-09-30,32.49,$-2.98,0.0
2011-06-30,52.49,$1.44,36.38
2011-03-31,54.77,$3.12,17.56
2010-12-31,56.7,$6.47,8.76
2010-09-30,51.38,$9.42,5.45
2010-06-30,55.42,$15.86,3.49
2010-03-31,54.82,$18.37,2.98
2009-12-31,50.42,$14.37,3.51
