Clipper Realty Price to Free Cash Flow Ratio Historical Data,Clipper Realty Price to Free Cash Flow Ratio Historical Data,Clipper Realty Price to Free Cash Flow Ratio Historical Data,Clipper Realty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.7,,0.0
2024-12-31,4.58,$-2.29,0.0
2024-09-30,5.6,$-2.51,0.0
2024-06-30,3.47,$-2.52,0.0
2024-03-31,4.54,$-1.62,0.0
2023-12-31,4.97,$-0.94,0.0
2023-09-30,4.67,$-0.94,0.0
2023-06-30,5.03,$-0.86,0.0
2023-03-31,5.01,$-1.44,0.0
2022-12-31,5.49,$-1.58,0.0
2022-09-30,5.91,$-2.38,0.0
2022-06-30,6.47,$-2.12,0.0
2022-03-31,7.52,$-1.97,0.0
2021-12-31,8.16,$-1.54,0.0
2021-09-30,6.58,$-0.53,0.0
2021-06-30,5.9,$-0.65,0.0
2021-03-31,6.28,$-1.03,0.0
2020-12-31,5.52,$-0.90,0.0
2020-09-30,4.67,$-1.01,0.0
2020-06-30,6.16,$-0.99,0.0
2020-03-31,3.89,$-1.11,0.0
2019-12-31,7.83,$-1.12,0.0
2019-09-30,7.45,$-1.65,0.0
2019-06-30,8.1,$-1.29,0.0
2019-03-31,9.63,$-0.92,0.0
2018-12-31,9.33,$-0.98,0.0
2018-09-30,9.6,$-0.34,0.0
2018-06-30,6.01,$-0.50,0.0
2018-03-31,5.9,$-0.25,0.0
2017-12-31,6.88,$-0.42,0.0
