Soligenix Price to Free Cash Flow Ratio Historical Data,Soligenix Price to Free Cash Flow Ratio Historical Data,Soligenix Price to Free Cash Flow Ratio Historical Data,Soligenix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.38,,0.0
2024-09-30,3.97,$-10.10,0.0
2024-06-30,2.58,$-11.31,0.0
2024-03-31,9.6,$-7.90,0.0
2023-12-31,12.12,$-17.75,0.0
2023-09-30,8.92,$-30.67,0.0
2023-06-30,11.26,$-47.34,0.0
2023-03-31,31.52,$-64.29,0.0
2022-12-31,108.48,$-70.57,0.0
2022-09-30,104.81,$-69.42,0.0
2022-06-30,144.0,$-68.75,0.0
2022-03-31,175.18,$-62.48,0.0
2021-12-31,158.47,$-70.28,0.0
2021-09-30,254.4,$-91.70,0.0
2021-06-30,266.4,$-95.06,0.0
2021-03-31,367.2,$-98.30,0.0
2020-12-31,307.2,$-100.03,0.0
2020-09-30,429.6,$-94.76,0.0
2020-06-30,506.4,$-95.55,0.0
2020-03-31,403.2,$-90.54,0.0
2019-12-31,348.0,$-93.27,0.0
2019-09-30,228.0,$-127.24,0.0
2019-06-30,170.4,$-69.50,0.0
2019-03-31,219.6,$-122.19,0.0
2018-12-31,206.4,$-131.89,0.0
2018-09-30,451.2,$-143.14,0.0
2018-06-30,232.8,$-226.38,0.0
2018-03-31,468.0,$-223.94,0.0
2017-12-31,532.68,$-255.21,0.0
2017-09-30,535.2,$-508.74,0.0
