Invesco Price to Free Cash Flow Ratio Historical Data,Invesco Price to Free Cash Flow Ratio Historical Data,Invesco Price to Free Cash Flow Ratio Historical Data,Invesco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.52,,6.34
2024-12-31,17.48,$2.45,7.14
2024-09-30,17.36,$3.22,5.39
2024-06-30,14.61,$3.02,4.84
2024-03-31,16.0,$2.62,6.1
2023-12-31,16.98,$2.49,6.82
2023-09-30,13.61,$1.87,7.28
2023-06-30,15.57,$2.11,7.39
2023-03-31,15.0,$1.68,8.95
2022-12-31,16.29,$1.11,14.67
2022-09-30,12.26,$0.18,68.43
2022-06-30,14.29,$0.48,29.82
2022-03-31,20.22,$1.32,15.31
2021-12-31,20.04,$2.08,9.62
2021-09-30,20.85,$3.30,6.31
2021-06-30,22.96,$2.88,7.97
2021-03-31,21.53,$2.52,8.55
2020-12-31,14.78,$2.41,6.13
2020-09-30,9.57,$2.25,4.25
2020-06-30,8.9,$2.03,4.39
2020-03-31,7.37,$2.40,3.08
2019-12-31,14.35,$2.25,6.37
2019-09-30,13.29,$1.60,8.31
2019-06-30,16.05,$1.60,10.02
2019-03-31,14.92,$1.59,9.41
2018-12-31,12.73,$1.76,7.23
2018-09-30,17.15,$2.30,7.45
2018-06-30,19.67,$2.59,7.61
2018-03-31,23.45,$2.12,11.04
2017-12-31,26.54,$2.55,10.4
2017-09-30,25.24,$1.74,14.52
2017-06-30,25.13,$1.70,14.75
2017-03-31,21.68,$1.65,13.14
2016-12-31,21.29,$1.26,16.94
2016-09-30,21.75,$2.48,8.76
2016-06-30,17.6,$1.80,9.8
2016-03-31,21.0,$2.45,8.59
2015-12-31,22.62,$2.40,9.43
2015-09-30,20.92,$1.44,14.53
2015-06-30,24.93,$2.31,10.79
2015-03-31,26.22,$2.88,9.09
2014-12-31,25.94,$2.52,10.29
2014-09-30,25.76,$2.63,9.79
2014-06-30,24.47,$2.30,10.65
2014-03-31,23.82,$2.17,10.99
2013-12-31,23.28,$1.60,14.57
2013-09-30,20.27,$2.20,9.21
2013-06-30,20.06,$1.60,12.51
2013-03-31,18.15,$0.85,21.24
2012-12-31,16.25,$1.59,10.23
2012-09-30,15.45,$1.14,13.6
2012-06-30,13.87,$2.11,6.57
2012-03-31,16.24,$1.75,9.26
2011-12-31,12.17,$1.87,6.5
2011-09-30,9.34,$1.25,7.47
2011-06-30,13.99,$1.07,13.11
2011-03-31,15.2,$0.79,19.16
2010-12-31,14.25,$0.63,22.8
2010-09-30,12.51,$1.11,11.24
2010-06-30,9.86,$0.61,16.18
2010-03-31,12.76,$0.81,15.82
2009-12-31,13.61,$0.78,17.47
