International Tower Hill Mines Price to Free Cash Flow Ratio Historical Data,International Tower Hill Mines Price to Free Cash Flow Ratio Historical Data,International Tower Hill Mines Price to Free Cash Flow Ratio Historical Data,International Tower Hill Mines Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.69,,0.0
2024-12-31,0.46,$-0.01,0.0
2024-09-30,0.56,$-0.01,0.0
2024-06-30,0.49,$-0.01,0.0
2024-03-31,0.69,$-0.02,0.0
2023-12-31,0.59,$-0.02,0.0
2023-09-30,0.35,$-0.02,0.0
2023-06-30,0.42,$-0.01,0.0
2023-03-31,0.6,$-0.01,0.0
2022-12-31,0.43,$-0.01,0.0
2022-09-30,0.52,$-0.02,0.0
2022-06-30,0.51,$-0.02,0.0
2022-03-31,0.98,$-0.03,0.0
2021-12-31,0.73,$-0.03,0.0
2021-09-30,0.75,$-0.03,0.0
2021-06-30,1.05,$-0.03,0.0
2021-03-31,1.07,$-0.03,0.0
2020-12-31,1.38,$-0.02,0.0
2020-09-30,1.33,$-0.01,0.0
2020-06-30,1.78,$-0.01,0.0
2020-03-31,0.37,$-0.01,0.0
2019-12-31,0.54,$-0.02,0.0
2019-09-30,0.52,$-0.02,0.0
2019-06-30,0.56,$-0.02,0.0
2019-03-31,0.53,$-0.02,0.0
2018-12-31,0.52,$-0.02,0.0
2018-09-30,0.48,$-0.02,0.0
2018-06-30,0.5,$-0.02,0.0
2018-03-31,0.55,$-0.03,0.0
2017-12-31,0.43,$-0.04,0.0
2017-09-30,0.54,$-0.04,0.0
2017-06-30,0.48,$-0.04,0.0
2017-03-31,0.53,$-0.05,0.0
2016-12-31,0.55,$-0.05,0.0
2016-09-30,0.89,$-0.05,0.0
2016-06-30,0.88,$-0.05,0.0
2016-03-31,0.31,$-0.05,0.0
2015-12-31,0.2,$-0.05,0.0
2015-09-30,0.33,$-0.05,0.0
2015-06-30,0.33,$-0.05,0.0
2015-03-31,0.36,$-0.06,0.0
2014-12-31,0.45,$-0.07,0.0
2014-09-30,0.45,$-0.08,0.0
2014-06-30,0.72,$-0.11,0.0
2014-03-31,0.76,$-0.12,0.0
2013-12-31,0.41,$-0.15,0.0
2013-09-30,0.31,$-0.20,0.0
2013-06-30,0.65,$-0.32,0.0
2013-03-31,1.52,$-0.39,0.0
2012-12-31,2.17,$-0.53,0.0
2012-09-30,2.85,$-0.24,0.0
2012-06-30,2.78,$-0.29,0.0
2012-03-31,4.29,$0.19,23.19
2011-12-31,4.36,0,0.0
2011-09-30,5.03,$-0.40,0.0
2011-06-30,7.54,$0.12,64.89
2011-03-31,10.03,$-0.68,0.0
2010-12-31,10.07,$-0.32,0.0
