AYRO Price to Free Cash Flow Ratio Historical Data,AYRO Price to Free Cash Flow Ratio Historical Data,AYRO Price to Free Cash Flow Ratio Historical Data,AYRO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.53,,0.0
2024-09-30,0.84,$-2.53,0.0
2024-06-30,0.78,$-2.89,0.0
2024-03-31,1.67,$-5.31,0.0
2023-12-31,1.76,$-5.93,0.0
2023-09-30,2.34,$-6.31,0.0
2023-06-30,5.48,$-5.62,0.0
2023-03-31,4.36,$-4.73,0.0
2022-12-31,3.06,$-4.39,0.0
2022-09-30,4.72,$-4.95,0.0
2022-06-30,6.7,$-6.55,0.0
2022-03-31,10.24,$-6.51,0.0
2021-12-31,12.88,$-6.18,0.0
2021-09-30,27.28,$-7.31,0.0
2021-06-30,39.04,$-4.48,0.0
2021-03-31,51.84,$-4.22,0.0
2020-12-31,48.64,$-5.49,0.0
2020-09-30,23.68,$-4.58,0.0
2020-06-30,22.4,$-6.55,0.0
2020-03-31,18.02,$21.00,0.86
2019-12-31,35.2,$-12.20,0.0
2019-09-30,29.27,$20.54,1.43
2019-06-30,44.0,$-18.35,0.0
2019-03-31,118.4,$-114.92,0.0
2018-12-31,50.21,$-260.73,0.0
2018-09-30,122.9,$-895.61,0.0
2018-06-30,302.4,$-352.93,0.0
2018-03-31,499.2,$-726.64,0.0
2017-12-31,979.2,$-276.12,0.0
2017-10-31,1440.0,$125.94,11.43
2017-09-30,1680.0,$-327.34,0.0
2017-07-31,1276.7,$67.10,19.03
2017-06-30,1334.4,$-284.41,0.0
2017-04-30,1296.0,$-55.41,0.0
2017-03-31,1324.9,$-169.20,0.0
2017-01-31,1401.6,$858.21,1.63
2016-10-31,1209.6,$-38.06,0.0
2016-07-31,1545.6,"$-1,085.01",0.0
2016-04-30,1315.2,"$-1,019.07",0.0
2016-01-31,1248.0,"$-1,995.11",0.0
2015-10-31,1420.8,"$-1,019.07",0.0
2015-07-31,1488.0,$2.90,512.8
2015-04-30,2764.8,$0.65,4277.89
2015-01-31,5596.8,$-1.67,0.0
2014-10-31,15523.2,$0.54,28923.42
2014-07-31,20209.73,$-1.43,0.0
2014-04-30,22598.4,$3.57,6325.3
2014-01-31,29990.4,$2.97,10104.58
2013-10-31,42240.0,$0.15,276802.08
2013-07-31,62937.6,$-0.49,0.0
2013-04-30,51729.21,$-4.75,0.0
2013-01-31,67415.04,$-4.41,0.0
2012-10-31,72441.6,$-1.22,0.0
2012-07-31,110879.99,$-0.17,0.0
2012-04-30,158292.28,$0.37,432610.77
2012-01-31,249849.59,$0.68,365170.4
2011-10-31,340031.98,$0.37,929303.04
2011-07-31,442041.58,$0.11,4170203.55
2011-04-30,384236.14,$-0.29,0.0
2011-01-31,399167.98,$-0.30,0.0
2010-10-31,484915.17,$-0.29,0.0
2010-07-31,369599.98,$-0.28,0.0
2010-04-30,470131.17,$0.32,1483531.63
2010-01-31,450911.98,$-0.45,0.0
2009-10-31,446476.78,$0.32,1408888.53
