17 Education & Technology Group Price to Free Cash Flow Ratio Historical Data,17 Education & Technology Group Price to Free Cash Flow Ratio Historical Data,17 Education & Technology Group Price to Free Cash Flow Ratio Historical Data,17 Education & Technology Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.31,,0.0
2024-09-30,2.98,$-3.42,0.0
2024-06-30,2.14,$-3.42,0.0
2024-03-31,2.9,$-3.42,0.0
2023-12-31,2.07,$-3.42,0.0
2023-09-30,0.78,$-6.54,0.0
2023-06-30,0.92,$-6.54,0.0
2023-03-31,1.01,$-6.54,0.0
2022-12-31,2.04,$-6.54,0.0
2022-09-30,1.35,$-25.80,0.0
2022-06-30,1.97,$-25.80,0.0
2022-03-31,2.66,$-25.80,0.0
2021-12-31,1.25,$-25.80,0.0
2021-09-30,3.6,$-9.85,0.0
