Portage Biotech Price to Free Cash Flow Ratio Historical Data,Portage Biotech Price to Free Cash Flow Ratio Historical Data,Portage Biotech Price to Free Cash Flow Ratio Historical Data,Portage Biotech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.35,,0.0
2024-09-30,6.65,$-9.10,0.0
2024-06-30,0.21,$-10.88,0.0
2024-03-31,0.56,$-14.78,0.0
2023-12-31,1.82,$-17.00,0.0
2023-09-30,2.09,$-18.08,0.0
2023-06-30,3.5,$-15.63,0.0
2023-03-31,3.09,$-14.98,0.0
2022-12-31,5.29,$-12.27,0.0
2022-09-30,6.82,$-11.68,0.0
2022-06-30,6.98,$-11.03,0.0
2022-03-31,6.57,$-10.36,0.0
2021-12-31,10.73,$-8.47,0.0
2021-09-30,20.32,$-7.18,0.0
2021-06-30,20.96,$-8.65,0.0
2021-03-31,27.97,$-7.30,0.0
2020-12-31,14.0,$-5.60,0.0
