OFG Bancorp Price to Free Cash Flow Ratio Historical Data,OFG Bancorp Price to Free Cash Flow Ratio Historical Data,OFG Bancorp Price to Free Cash Flow Ratio Historical Data,OFG Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.22,,8.16
2024-12-31,42.32,$4.93,8.59
2024-09-30,44.92,$6.32,7.11
2024-06-30,37.24,$6.99,5.33
2024-03-31,36.36,$5.98,6.08
2023-12-31,36.77,$5.84,6.29
2023-09-30,29.13,$4.59,6.35
2023-06-30,25.25,$3.19,7.91
2023-03-31,23.95,$3.27,7.33
2022-12-31,26.23,$2.85,9.19
2022-09-30,23.75,$1.98,12.01
2022-06-30,23.81,$1.96,12.14
2022-03-31,24.83,$1.47,16.85
2021-12-31,24.61,$1.51,16.3
2021-09-30,23.27,$1.16,19.98
2021-06-30,20.31,$1.25,16.29
2021-03-31,20.7,$0.73,28.26
2020-12-31,16.9,$0.38,44.12
2020-09-30,11.32,$2.00,5.66
2020-06-30,12.08,$1.65,7.34
2020-03-31,10.04,$1.85,5.43
2019-12-31,21.08,$1.91,11.03
2019-09-30,19.5,$1.76,11.1
2019-06-30,21.09,$2.06,10.26
2019-03-31,17.51,$2.10,8.33
2018-12-31,14.51,$2.41,6.03
2018-09-30,14.18,$2.15,6.59
2018-06-30,12.29,$3.70,3.32
2018-03-31,9.1,$3.05,2.98
2017-12-31,8.14,$2.85,2.86
2017-09-30,7.87,$2.59,3.03
2017-06-30,8.55,$0.92,9.29
2017-03-31,10.03,$1.47,6.81
2016-12-31,11.07,$1.43,7.72
2016-09-30,8.51,$1.39,6.13
2016-06-30,6.94,$1.47,4.71
2016-03-31,5.8,$1.57,3.7
2015-12-31,6.02,$1.78,3.38
2015-09-30,7.13,$1.49,4.78
2015-06-30,8.62,$2.32,3.71
2015-03-31,13.09,$3.11,4.21
2014-12-31,13.27,$3.19,4.16
2014-09-30,11.87,$3.80,3.12
2014-06-30,14.51,$3.79,3.83
2014-03-31,13.49,$3.46,3.9
2013-12-31,13.55,$3.12,4.34
2013-09-30,12.59,$3.09,4.07
2013-06-30,14.03,$2.00,7.01
2013-03-31,11.98,$1.10,10.91
2012-12-31,10.27,$1.07,9.6
2012-09-30,8.06,$0.38,21.28
2012-06-30,8.44,$0.36,23.35
2012-03-31,9.16,$0.10,96.34
2011-12-31,9.12,$-0.96,0.0
2011-09-30,7.25,$-2.19,0.0
2011-06-30,9.61,$-1.51,0.0
2011-03-31,9.32,$-1.29,0.0
2010-12-31,9.24,$-1.14,0.0
2010-09-30,9.8,$-1.77,0.0
2010-06-30,9.3,$-3.04,0.0
2010-03-31,9.88,$-2.34,0.0
2009-12-31,7.88,$-2.00,0.0
