Bridger Aerospaces Price to Free Cash Flow Ratio Historical Data,Bridger Aerospaces Price to Free Cash Flow Ratio Historical Data,Bridger Aerospaces Price to Free Cash Flow Ratio Historical Data,Bridger Aerospaces Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.53,,16.22
2024-12-31,2.13,$0.09,22.59
2024-09-30,2.22,$0.09,23.82
2024-06-30,3.74,$0.32,11.82
2024-03-31,5.02,$-0.41,0.0
2023-12-31,6.91,$-0.61,0.0
2023-09-30,8.47,$-0.80,0.0
2023-06-30,5.6,$-1.92,0.0
2023-03-31,4.55,$-1.27,0.0
2022-12-31,10.13,$-0.87,0.0
2022-09-30,9.95,$-1.04,0.0
2022-06-30,9.83,$-0.63,0.0
2022-03-31,9.81,$-0.49,0.0
2021-12-31,9.76,$-0.41,0.0
