Marathon Petroleum Price to Free Cash Flow Ratio Historical Data,Marathon Petroleum Price to Free Cash Flow Ratio Historical Data,Marathon Petroleum Price to Free Cash Flow Ratio Historical Data,Marathon Petroleum Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,151.95,,8.4
2024-12-31,139.5,$18.09,7.71
2024-09-30,161.99,$14.79,10.95
2024-06-30,171.67,$23.56,7.29
2024-03-31,198.45,$24.54,8.09
2023-12-31,145.39,$29.98,4.85
2023-09-30,147.5,$35.68,4.13
2023-06-30,113.04,$28.26,4.0
2023-03-31,129.81,$31.69,4.1
2022-12-31,111.4,$27.19,4.1
2022-09-30,94.48,$26.07,3.62
2022-06-30,77.73,$18.72,4.15
2022-03-31,80.36,$8.00,10.05
2021-12-31,59.7,$4.78,12.49
2021-09-30,57.16,$1.15,49.9
2021-06-30,55.31,$4.54,12.18
2021-03-31,48.5,$2.59,18.73
2020-12-31,37.08,$-0.34,0.0
2020-09-30,25.94,$-0.20,0.0
2020-06-30,32.54,$1.38,23.58
2020-03-31,20.22,$3.86,5.23
2019-12-31,51.05,$7.05,7.25
2019-09-30,51.04,$8.67,5.89
2019-06-30,46.42,$6.78,6.85
2019-03-31,49.21,$8.15,6.04
2018-12-31,48.12,$5.71,8.44
2018-09-30,64.74,$6.28,10.31
2018-06-30,56.46,$8.03,7.03
2018-03-31,58.48,$4.95,11.83
2017-12-31,52.42,$7.73,6.78
2017-09-30,44.26,$4.48,9.89
2017-06-30,40.99,$1.39,29.57
2017-03-31,39.32,$3.89,10.1
2016-12-31,38.9,$2.31,16.82
2016-09-30,31.1,$1.95,15.97
2016-06-30,28.83,$3.58,8.06
2016-03-31,27.99,$1.75,15.98
2015-12-31,38.64,$3.87,9.99
2015-09-30,34.33,$3.44,9.97
2015-06-30,38.54,$3.63,10.62
2015-03-31,37.54,$3.52,10.67
2014-12-31,32.93,$2.89,11.41
2014-09-30,30.72,$4.50,6.83
2014-06-30,28.17,$3.49,8.08
2014-03-31,31.26,$1.51,20.71
2013-12-31,32.79,$3.49,9.39
2013-09-30,22.87,$4.52,5.06
2013-06-30,24.96,$6.56,3.81
2013-03-31,31.33,$7.42,4.22
2012-12-31,21.94,$4.64,4.72
2012-09-30,18.89,$2.68,7.06
2012-06-30,15.44,$2.36,6.53
2012-03-31,14.8,$3.23,4.58
