Brainsway Price to Free Cash Flow Ratio Historical Data,Brainsway Price to Free Cash Flow Ratio Historical Data,Brainsway Price to Free Cash Flow Ratio Historical Data,Brainsway Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.28,,23.17
2024-09-30,9.24,$0.44,20.82
2024-06-30,6.07,$0.37,16.42
2024-03-31,5.29,$0.13,39.6
2023-12-31,6.48,$-0.07,0.0
2023-09-30,4.04,$-0.39,0.0
2023-06-30,2.28,$-0.49,0.0
2023-03-31,1.76,$-0.57,0.0
2022-12-31,2.47,$-0.47,0.0
2022-09-30,3.61,$-0.24,0.0
2022-06-30,4.83,$-0.12,0.0
2022-03-31,8.73,$-0.14,0.0
2021-12-31,7.7,$-0.09,0.0
2021-09-30,8.06,$-0.09,0.0
2021-06-30,10.2,$-0.13,0.0
2021-03-31,9.03,$-0.09,0.0
2020-12-31,7.54,$-0.35,0.0
2020-09-30,5.83,$-0.68,0.0
2020-06-30,5.92,$-0.88,0.0
2020-03-31,7.94,$-1.34,0.0
