Kinetik Holdings Price to Free Cash Flow Ratio Historical Data,Kinetik Holdings Price to Free Cash Flow Ratio Historical Data,Kinetik Holdings Price to Free Cash Flow Ratio Historical Data,Kinetik Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,53.71,,8.63
2024-12-31,56.71,$6.22,9.11
2024-09-30,44.55,$4.46,9.99
2024-06-30,40.06,$3.48,11.51
2024-03-31,37.82,$2.23,16.93
2023-12-31,30.99,$1.86,16.66
2023-09-30,30.65,$5.76,5.32
2023-06-30,31.26,$6.15,5.09
2023-03-31,27.1,$9.19,2.95
2022-12-31,27.93,$9.77,2.86
2022-09-30,27.51,$7.00,3.93
2022-06-30,28.27,$5.03,5.62
2022-03-31,26.37,$1.85,14.27
2021-12-31,24.87,0,0.0
2021-09-30,27.34,$-0.53,0.0
2021-06-30,26.12,$-8.95,0.0
2021-03-31,19.84,$-1.19,0.0
2020-12-31,17.48,0,0.0
2020-09-30,4.09,$-25.02,0.0
2020-06-30,4.67,$6.89,0.68
2020-03-31,5.52,$-27.84,0.0
2019-12-31,21.06,$-33.78,0.0
2019-09-30,20.84,$-13.05,0.0
2019-06-30,27.4,$-36.53,0.0
2019-03-31,43.45,$-9.57,0.0
2018-12-31,56.93,$-4.81,0.0
2018-09-30,74.82,$0.17,446.98
2018-06-30,72.91,$0.30,246.07
2018-03-31,72.1,$-0.00,0.0
