Home Federal Bancorp Of Louisiana Price to Free Cash Flow Ratio Historical Data,Home Federal Bancorp Of Louisiana Price to Free Cash Flow Ratio Historical Data,Home Federal Bancorp Of Louisiana Price to Free Cash Flow Ratio Historical Data,Home Federal Bancorp Of Louisiana Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.88,,7.9
2024-12-31,12.55,$1.63,7.7
2024-09-30,12.47,$-0.32,0.0
2024-06-30,11.23,$0.03,394.18
2024-03-31,12.46,$0.36,34.19
2023-12-31,13.77,$1.54,8.95
2023-09-30,13.8,$2.82,4.89
2023-06-30,13.25,$3.47,3.82
2023-03-31,16.0,$2.75,5.82
2022-12-31,15.93,$4.34,3.67
2022-09-30,17.32,$4.31,4.02
2022-06-30,18.09,$4.42,4.1
2022-03-31,19.0,$7.14,2.66
2021-12-31,18.57,$7.03,2.64
2021-09-30,16.99,$6.83,2.49
2021-06-30,17.57,$2.00,8.78
2021-03-31,14.08,$-1.77,0.0
2020-12-31,12.88,$-2.43,0.0
2020-09-30,10.21,$-2.66,0.0
2020-06-30,10.92,$0.47,23.08
2020-03-31,10.92,$0.88,12.38
2019-12-31,15.55,$-1.08,0.0
2019-09-30,14.14,$-0.48,0.0
2019-06-30,14.33,$0.72,19.91
2019-03-31,13.71,$1.14,12.07
2018-12-31,12.58,$0.99,12.69
2018-09-30,14.5,$2.16,6.7
2018-06-30,13.32,$3.29,4.04
2018-03-31,12.66,$1.48,8.58
2017-12-31,11.81,$3.36,3.51
2017-09-30,11.16,$2.91,3.84
2017-06-30,11.22,$0.71,15.84
2017-03-31,11.99,$1.57,7.66
2016-12-31,11.11,$0.14,81.2
2016-09-30,9.62,$0.04,264.9
2016-06-30,8.8,$1.14,7.71
2016-03-31,9.2,$1.41,6.52
2015-12-31,9.47,$1.35,7.03
2015-09-30,9.28,$0.71,13.14
2015-06-30,8.17,$-0.70,0.0
2015-03-31,7.76,$-0.48,0.0
2014-12-31,7.84,$-0.56,0.0
2014-09-30,7.7,$-1.15,0.0
2014-06-30,7.78,$-1.05,0.0
2014-03-31,7.84,$-0.47,0.0
2013-12-31,7.05,$0.61,11.48
2013-09-30,6.67,$1.03,6.48
2013-06-30,6.79,$2.00,3.4
2013-03-31,6.93,$2.81,2.47
2012-12-31,6.81,$1.87,3.63
2012-09-30,6.92,$1.10,6.29
2012-06-30,5.7,$0.07,77.96
2012-03-31,5.48,$-1.67,0.0
2011-12-31,5.44,$-0.93,0.0
2011-09-30,4.96,$-0.32,0.0
2011-06-30,4.96,$1.18,4.21
2011-03-31,4.95,$0.52,9.47
2010-12-31,4.32,$-0.70,0.0
2010-09-30,3.53,$-1.19,0.0
2010-06-30,2.97,$-2.15,0.0
2010-03-31,3.13,$-0.73,0.0
2009-12-31,3.29,$-0.36,0.0
