ADTRAN Holdings Price to Free Cash Flow Ratio Historical Data,ADTRAN Holdings Price to Free Cash Flow Ratio Historical Data,ADTRAN Holdings Price to Free Cash Flow Ratio Historical Data,ADTRAN Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.04,,10.1
2024-12-31,8.33,$0.89,9.31
2024-09-30,5.93,$0.43,13.79
2024-06-30,5.26,$0.05,103.14
2024-03-31,5.44,$-0.35,0.0
2023-12-31,7.34,$-1.01,0.0
2023-09-30,8.23,$-1.06,0.0
2023-06-30,10.53,$-1.52,0.0
2023-03-31,15.86,$-1.41,0.0
2022-12-31,18.79,$-0.98,0.0
2022-09-30,19.58,$-1.30,0.0
2022-06-30,17.46,$-0.56,0.0
2022-03-31,18.29,$-0.19,0.0
2021-12-31,22.54,$-0.05,0.0
2021-09-30,18.44,$0.26,70.71
2021-06-30,20.22,$-0.12,0.0
2021-03-31,16.26,$-0.24,0.0
2020-12-31,14.32,$-0.47,0.0
2020-09-30,9.87,$-0.55,0.0
2020-06-30,10.44,$-0.42,0.0
2020-03-31,7.28,$-0.44,0.0
2019-12-31,9.27,$-0.25,0.0
2019-09-30,10.54,$-2.27,0.0
2019-06-30,14.05,$-1.70,0.0
2019-03-31,12.55,$0.23,53.52
2018-12-31,9.78,$0.99,9.89
2018-09-30,15.97,$1.97,8.11
2018-06-30,13.36,$1.39,9.65
2018-03-31,13.91,$-0.36,0.0
2017-12-31,17.21,$-1.17,0.0
2017-09-30,21.25,$0.31,68.7
2017-06-30,18.22,$0.41,44.86
2017-03-31,18.23,$0.27,66.86
2016-12-31,19.55,$0.42,46.55
2016-09-30,16.66,$0.14,122.58
2016-06-30,16.15,$0.12,139.97
2016-03-31,17.43,$0.19,90.66
2015-12-31,14.77,$0.14,108.54
2015-09-30,12.45,$0.52,24.15
2015-06-30,13.78,$0.78,17.57
2015-03-31,15.74,$0.86,18.23
2014-12-31,18.31,$0.80,22.78
2014-09-30,17.24,$0.69,24.92
2014-06-30,18.87,$0.76,24.89
2014-03-31,20.33,$0.59,34.24
2013-12-31,22.42,$0.87,25.82
2013-09-30,22.03,$1.08,20.47
2013-06-30,20.29,$1.13,17.89
2013-03-31,16.13,$1.25,12.91
2012-12-31,15.97,$1.16,13.79
2012-09-30,14.04,$1.45,9.69
2012-06-30,24.43,$1.68,14.55
2012-03-31,25.16,$1.93,13.02
2011-12-31,24.27,$2.12,11.45
2011-09-30,21.23,$1.96,10.83
2011-06-30,30.98,$1.50,20.64
2011-03-31,33.9,$1.41,23.98
2010-12-31,28.85,$1.30,22.23
2010-09-30,28.05,$1.12,25.11
2010-06-30,21.6,$1.37,15.77
2010-03-31,20.81,$1.32,15.72
2009-12-31,17.73,$1.29,13.8
