Genpact Price to Free Cash Flow Ratio Historical Data,Genpact Price to Free Cash Flow Ratio Historical Data,Genpact Price to Free Cash Flow Ratio Historical Data,Genpact Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,49.44,,16.67
2024-12-31,42.95,$2.97,14.48
2024-09-30,39.08,$2.87,13.61
2024-06-30,31.95,$2.52,12.69
2024-03-31,32.56,$2.33,13.99
2023-12-31,34.15,$2.35,14.52
2023-09-30,35.47,$2.56,13.86
2023-06-30,36.68,$2.91,12.62
2023-03-31,44.95,$2.53,17.75
2022-12-31,44.92,$2.09,21.49
2022-09-30,42.33,$2.13,19.86
2022-06-30,40.85,$2.01,20.34
2022-03-31,41.84,$2.32,18.01
2021-12-31,50.89,$3.35,15.17
2021-09-30,45.46,$2.89,15.75
2021-06-30,43.37,$3.05,14.22
2021-03-31,40.79,$3.17,12.87
2020-12-31,39.29,$2.63,14.95
2020-09-30,36.92,$2.27,16.27
2020-06-30,34.53,$2.06,16.73
2020-03-31,27.53,$1.71,16.09
2019-12-31,39.66,$1.82,21.82
2019-09-30,36.37,$2.08,17.45
2019-06-30,35.75,$1.73,20.7
2019-03-31,32.94,$1.46,22.62
2018-12-31,25.21,$1.32,19.16
2018-09-30,28.51,$1.12,25.37
2018-06-30,26.88,$1.16,23.24
2018-03-31,29.65,$1.24,23.99
2017-12-31,29.35,$1.54,19.05
2017-09-30,26.54,$1.55,17.07
2017-06-30,25.63,$1.52,16.86
2017-03-31,22.76,$1.49,15.25
2016-12-31,22.31,$1.26,17.73
2016-09-30,21.96,$1.07,20.46
2016-06-30,24.61,$1.02,24.21
2016-03-31,24.93,$1.00,24.81
2015-12-31,22.9,$1.22,18.81
2015-09-30,21.64,$1.30,16.62
2015-06-30,19.55,$1.03,18.97
2015-03-31,21.31,$0.98,21.71
2014-12-31,17.35,$0.93,18.62
2014-09-30,14.96,$0.88,16.98
2014-06-30,16.07,$1.07,15.08
2014-03-31,15.97,$1.06,15.13
2013-12-31,16.84,$1.13,14.92
2013-09-30,17.31,$1.19,14.61
2013-06-30,17.64,$0.94,18.68
2013-03-31,16.68,$1.14,14.63
2012-12-31,14.21,$0.99,14.32
2012-09-30,15.29,$0.99,15.47
2012-06-30,13.44,$1.11,12.1
2012-03-31,13.17,$0.88,14.92
2011-12-31,12.08,$1.02,11.8
2011-09-30,11.63,$1.03,11.26
2011-06-30,13.93,$0.91,15.24
2011-03-31,11.7,$0.75,15.53
2010-12-31,12.28,$0.49,25.3
2010-09-30,14.33,$0.24,59.05
2010-06-30,12.55,$0.18,70.3
2010-03-31,13.55,$0.24,55.62
2009-12-31,12.04,$0.47,25.52
