Entrada Therapeutics Price to Free Cash Flow Ratio Historical Data,Entrada Therapeutics Price to Free Cash Flow Ratio Historical Data,Entrada Therapeutics Price to Free Cash Flow Ratio Historical Data,Entrada Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.41,,0.0
2024-12-31,17.29,$-1.15,0.0
2024-09-30,15.98,$-0.25,0.0
2024-06-30,14.25,$-0.57,0.0
2024-03-31,14.17,$-2.93,0.0
2023-12-31,15.09,$4.06,3.72
2023-09-30,15.8,$3.11,5.09
2023-06-30,15.14,$3.18,4.76
2023-03-31,14.5,$3.83,3.78
2022-12-31,13.52,$-3.09,0.0
2022-09-30,15.76,$-11.04,0.0
