Sound Financial Bancorp Price to Free Cash Flow Ratio Historical Data,Sound Financial Bancorp Price to Free Cash Flow Ratio Historical Data,Sound Financial Bancorp Price to Free Cash Flow Ratio Historical Data,Sound Financial Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,50.81,,45.05
2024-12-31,52.65,$1.13,46.68
2024-09-30,53.31,$1.80,29.55
2024-06-30,42.67,$1.68,25.45
2024-03-31,40.18,$2.50,16.1
2023-12-31,38.33,$2.50,15.36
2023-09-30,36.14,$3.44,10.49
2023-06-30,34.53,$2.28,15.14
2023-03-31,35.81,$3.37,10.63
2022-12-31,37.83,$3.70,10.24
2022-09-30,38.87,$4.68,8.3
2022-06-30,36.24,$3.84,9.45
2022-03-31,36.22,$5.27,6.87
2021-12-31,41.57,$7.17,5.79
2021-09-30,42.28,$8.02,5.27
2021-06-30,43.11,$6.17,6.99
2021-03-31,38.86,$4.03,9.64
2020-12-31,29.4,$-0.34,0.0
2020-09-30,27.3,$-2.54,0.0
2020-06-30,22.12,$1.25,17.64
2020-03-31,19.13,$1.54,12.45
2019-12-31,32.48,$4.03,8.06
2019-09-30,32.45,$3.05,10.65
2019-06-30,30.56,$3.50,8.73
2019-03-31,30.38,$3.31,9.18
2018-12-31,29.01,$3.77,7.69
2018-09-30,35.1,$3.77,9.3
2018-06-30,34.19,$2.83,12.1
2018-03-31,32.39,$2.40,13.49
2017-12-31,29.88,$1.69,17.64
2017-09-30,29.78,$2.00,14.89
2017-06-30,26.45,$1.58,16.72
2017-03-31,27.45,$1.79,15.31
2016-12-31,24.14,$2.39,10.09
2016-09-30,21.04,$1.22,17.2
2016-06-30,20.52,$2.56,8.01
2016-03-31,19.56,$2.60,7.53
2015-12-31,19.27,$1.02,18.84
2015-09-30,17.08,$1.76,9.7
2015-06-30,17.76,$-0.11,0.0
2015-03-31,16.58,$-0.07,0.0
2014-12-31,15.86,$1.09,14.58
2014-09-30,14.94,$1.81,8.23
2014-06-30,14.64,$2.98,4.91
2014-03-31,14.43,$3.54,4.08
2013-12-31,14.06,$2.83,4.97
2013-09-30,12.53,$3.84,3.26
2013-06-30,11.37,$3.35,3.39
2013-03-31,10.42,$3.30,3.16
2012-12-31,8.56,$3.80,2.26
2012-09-30,8.35,$2.50,3.34
2012-06-30,6.37,$3.01,2.12
2012-03-31,6.18,$2.93,2.1
2011-12-31,6.18,$2.95,2.09
2011-09-30,5.35,$3.41,1.57
2011-06-30,5.35,$3.00,1.78
2011-03-31,6.18,$2.96,2.09
2010-12-31,3.95,$2.24,1.76
2010-09-30,4.12,$1.67,2.46
2010-06-30,4.12,$0.86,4.77
2010-03-31,3.71,$0.01,0.0
2009-12-31,3.6,$-0.80,0.0
