Franklin Street Properties Price to Free Cash Flow Ratio Historical Data,Franklin Street Properties Price to Free Cash Flow Ratio Historical Data,Franklin Street Properties Price to Free Cash Flow Ratio Historical Data,Franklin Street Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.83,,2.39
2024-12-31,1.83,$0.77,2.39
2024-09-30,1.76,$1.51,1.16
2024-06-30,1.51,$1.27,1.19
2024-03-31,2.23,$1.27,1.76
2023-12-31,2.51,$1.24,2.02
2023-09-30,1.8,$0.37,4.84
2023-06-30,1.4,$1.27,1.1
2023-03-31,1.51,$1.21,1.25
2022-12-31,2.61,$0.86,3.02
2022-09-30,2.51,$3.09,0.81
2022-06-30,3.96,$2.96,1.34
2022-03-31,5.52,$5.05,1.09
2021-12-31,5.47,$5.11,1.07
2021-09-30,3.98,$3.52,1.13
2021-06-30,4.43,$2.75,1.61
2021-03-31,4.52,$0.73,6.22
2020-12-31,3.55,$0.74,4.79
2020-09-30,2.91,$-0.06,0.0
2020-06-30,3.97,$-0.02,0.0
2020-03-31,4.4,$0.04,116.01
2019-12-31,6.49,$0.10,62.33
2019-09-30,6.35,$0.13,47.72
2019-06-30,5.48,$0.14,38.05
2019-03-31,5.27,$0.18,29.59
2018-12-31,4.51,$0.27,16.6
2018-09-30,5.71,$0.68,8.42
2018-06-30,6.06,$0.66,9.14
2018-03-31,5.88,$0.72,8.18
2017-12-31,7.38,$0.74,9.96
2017-09-30,7.16,$-0.66,0.0
2017-06-30,7.34,$-0.97,0.0
2017-03-31,7.92,$-1.28,0.0
2016-12-31,8.33,$-1.33,0.0
2016-09-30,7.98,$0.17,46.31
2016-06-30,7.65,$0.56,13.68
2016-03-31,6.5,$0.47,13.87
2015-12-31,6.22,$1.00,6.21
2015-09-30,6.35,$0.82,7.71
2015-06-30,6.57,$0.88,7.47
2015-03-31,7.34,$1.41,5.19
2014-12-31,6.92,$0.99,7.02
2014-09-30,6.23,$0.77,8.04
2014-06-30,6.88,$-2.14,0.0
2014-03-31,6.79,$-3.88,0.0
2013-12-31,6.34,$-3.94,0.0
2013-09-30,6.66,$-5.45,0.0
2013-06-30,6.81,$-3.07,0.0
2013-03-31,7.45,$-1.40,0.0
2012-12-31,6.18,$-1.37,0.0
2012-09-30,5.46,$-0.01,0.0
2012-06-30,5.13,$0.23,22.41
2012-03-31,5.04,$0.20,25.19
2011-12-31,4.65,$-0.20,0.0
2011-09-30,5.2,$-0.16,0.0
2011-06-30,5.85,$0.23,25.12
2011-03-31,6.29,$-0.21,0.0
2010-12-31,6.28,$0.15,42.15
2010-09-30,5.4,$0.66,8.2
2010-06-30,5.06,$-0.51,0.0
2010-03-31,6.1,$-0.50,0.0
2009-12-31,6.09,$-0.41,0.0
