Avalo Therapeutics Price to Free Cash Flow Ratio Historical Data,Avalo Therapeutics Price to Free Cash Flow Ratio Historical Data,Avalo Therapeutics Price to Free Cash Flow Ratio Historical Data,Avalo Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.22,,0.28
2024-09-30,9.5,$29.60,0.32
2024-06-30,12.47,$249.67,0.05
2024-03-31,21.75,$87.69,0.25
2023-12-31,9.1,$-110.38,0.0
2023-09-30,28.97,$-248.59,0.0
2023-06-30,85.25,$-323.62,0.0
2023-03-31,420.0,$-483.13,0.0
2022-12-31,1209.62,$-684.81,0.0
2022-09-30,796.8,$-991.55,0.0
2022-06-30,1440.0,"$-1,640.46",0.0
2022-03-31,2087.14,"$-1,846.24",0.0
2021-12-31,4896.0,"$-2,030.99",0.0
2021-09-30,6278.4,"$-2,358.16",0.0
2021-06-30,9417.6,"$-2,204.42",0.0
2021-03-31,8697.6,"$-2,027.80",0.0
2020-12-31,7603.2,"$-1,740.23",0.0
2020-09-30,6552.0,"$-1,122.87",0.0
2020-06-30,7488.0,"$-1,269.28",0.0
2020-03-31,7142.4,"$-1,369.51",0.0
2019-12-31,15523.2,"$-1,292.98",0.0
2019-09-30,9475.2,"$-1,374.04",0.0
2019-06-30,15667.2,$-920.98,0.0
2019-03-31,16819.2,$-503.77,0.0
2018-12-31,9302.4,$-303.51,0.0
2018-09-30,13449.6,$-205.70,0.0
2018-06-30,12499.2,"$2,718.02",4.6
2018-03-31,12355.2,"$2,512.37",4.92
2017-12-31,9216.0,"$1,913.49",4.82
2017-09-30,2448.29,$843.71,2.9
2017-06-30,1650.24,"$-3,129.50",0.0
2017-03-31,1944.29,"$-4,126.96",0.0
2016-12-31,2535.55,"$-4,728.43",0.0
2016-09-30,12182.4,"$-3,557.96",0.0
