Biofrontera Price to Free Cash Flow Ratio Historical Data,Biofrontera Price to Free Cash Flow Ratio Historical Data,Biofrontera Price to Free Cash Flow Ratio Historical Data,Biofrontera Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.03,,0.0
2024-12-31,1.09,$-1.86,0.0
2024-09-30,1.33,$-5.97,0.0
2024-06-30,0.9,$-7.37,0.0
2024-03-31,1.54,$-14.26,0.0
2023-12-31,2.77,$-16.10,0.0
2023-09-30,8.77,$-20.09,0.0
2023-06-30,0.52,$-23.53,0.0
2023-03-31,0.61,$-15.66,0.0
2022-12-31,0.92,$-15.36,0.0
2022-09-30,1.05,$-67.69,0.0
