Akari Therapeutics Price to Free Cash Flow Ratio Historical Data,Akari Therapeutics Price to Free Cash Flow Ratio Historical Data,Akari Therapeutics Price to Free Cash Flow Ratio Historical Data,Akari Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.5,,0.0
2024-09-30,2.95,$-1.84,0.0
2024-06-30,2.7,$-3.00,0.0
2024-03-31,1.87,$-3.96,0.0
2023-12-31,3.12,$-6.06,0.0
2023-09-30,3.95,$-6.97,0.0
2023-03-31,3.63,$-8.72,0.0
2022-06-30,20.0,$-6.99,0.0
2022-03-31,24.0,$-6.81,0.0
2021-12-31,30.0,$-8.78,0.0
2021-09-30,32.6,$-9.18,0.0
2021-06-30,34.6,$-9.11,0.0
2021-03-31,52.8,$-8.44,0.0
2020-12-31,37.0,$-10.73,0.0
2020-09-30,34.8,"$9,571.01",0.0
2020-06-30,43.6,$-16.46,0.0
2020-03-31,29.0,$-20.55,0.0
2019-12-31,35.0,$-14.11,0.0
2019-09-30,34.2,"$-9,598.38",0.0
2019-06-30,40.4,$-18.35,0.0
2019-03-31,71.6,$-23.26,0.0
2018-12-31,31.4,$-29.32,0.0
2018-09-30,51.2,$-35.03,0.0
2018-06-30,39.0,$-43.74,0.0
2018-03-31,36.4,$-40.91,0.0
2017-12-31,86.6,$-50.73,0.0
2017-09-30,122.8,$-50.30,0.0
2017-06-30,92.2,$-43.15,0.0
2017-03-31,221.4,$-44.78,0.0
2016-12-31,140.8,$-41.91,0.0
2016-09-30,170.2,$-47.17,0.0
2016-06-30,269.8,$-34.06,0.0
