Precigen Price to Free Cash Flow Ratio Historical Data,Precigen Price to Free Cash Flow Ratio Historical Data,Precigen Price to Free Cash Flow Ratio Historical Data,Precigen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.8,,0.0
2024-12-31,1.12,$-0.29,0.0
2024-09-30,0.95,$-0.32,0.0
2024-06-30,1.58,$-0.31,0.0
2024-03-31,1.45,$-0.27,0.0
2023-12-31,1.34,$-0.28,0.0
2023-09-30,1.42,$-0.29,0.0
2023-06-30,1.15,$-0.34,0.0
2023-03-31,1.06,$-0.33,0.0
2022-12-31,1.52,$-0.35,0.0
2022-09-30,2.12,$-0.36,0.0
2022-06-30,1.34,$-0.33,0.0
2022-03-31,2.11,$-0.32,0.0
2021-12-31,3.71,$-0.30,0.0
2021-09-30,4.99,$-0.29,0.0
2021-06-30,6.52,$-0.31,0.0
2021-03-31,6.89,$-0.36,0.0
2020-12-31,10.2,$-0.47,0.0
2020-09-30,3.5,$-0.63,0.0
2020-06-30,4.99,$-0.74,0.0
2020-03-31,3.4,$-0.95,0.0
2019-12-31,5.48,$-1.12,0.0
2019-09-30,5.72,$-1.26,0.0
2019-06-30,7.66,$-1.31,0.0
2019-03-31,5.26,$-1.30,0.0
2018-12-31,6.54,$-1.26,0.0
2018-09-30,17.22,$-1.29,0.0
2018-06-30,13.94,$-1.31,0.0
2018-03-31,15.33,$-1.30,0.0
2017-12-31,11.52,$-1.24,0.0
2017-09-30,19.01,$-1.08,0.0
2017-06-30,24.09,$-1.00,0.0
2017-03-31,19.82,$-0.87,0.0
2016-12-31,24.04,$-0.68,0.0
2016-09-30,27.73,$-0.35,0.0
2016-06-30,24.35,$0.32,75.55
2016-03-31,33.53,$0.29,115.83
2015-12-31,29.83,$0.21,140.72
2015-09-30,31.47,$0.02,1581.19
2015-06-30,48.29,$-0.51,0.0
2015-03-31,44.89,$-0.47,0.0
2014-12-31,27.24,$-0.26,0.0
2014-09-30,18.38,$-0.71,0.0
2014-06-30,24.87,$-1.42,0.0
