First Northwest Bancorp Price to Free Cash Flow Ratio Historical Data,First Northwest Bancorp Price to Free Cash Flow Ratio Historical Data,First Northwest Bancorp Price to Free Cash Flow Ratio Historical Data,First Northwest Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.31,,3.87
2024-12-31,10.2,$2.66,3.83
2024-09-30,10.63,$1.48,7.19
2024-06-30,9.56,$1.05,9.13
2024-03-31,15.33,$0.57,27.01
2023-12-31,15.53,$1.82,8.52
2023-09-30,11.89,$1.79,6.64
2023-06-30,10.97,$2.57,4.26
2023-03-31,11.01,$1.94,5.68
2022-12-31,14.64,$1.42,10.31
2022-09-30,15.28,$1.40,10.89
2022-06-30,14.74,$1.43,10.3
2022-03-31,20.79,$0.91,22.94
2021-12-31,18.96,$0.99,19.15
2021-09-30,16.42,$1.82,9.02
2021-06-30,16.36,$1.37,11.94
2021-03-31,15.43,$1.69,9.12
2020-12-31,14.43,$1.22,11.87
2020-09-30,9.12,$0.46,19.89
2020-06-30,11.39,$0.70,16.28
2020-03-31,9.93,$0.61,16.36
2019-12-31,16.51,$1.38,11.98
2019-09-30,15.73,$1.24,12.64
2019-06-30,14.73,$1.40,10.51
2019-03-31,14.09,$1.15,12.28
2018-12-31,13.39,$1.01,13.31
2018-09-30,13.91,$0.10,143.83
2018-06-30,14.42,$-0.06,0.0
2018-03-31,15.25,$0.16,95.45
2017-12-31,14.72,0,0.0
2017-09-30,15.44,$0.87,17.82
2017-06-30,14.24,$0.03,423.87
2017-03-31,14.0,$-0.29,0.0
2016-12-31,14.09,$-0.46,0.0
2016-09-30,12.18,$-0.40,0.0
2016-06-30,11.51,$-0.00,0.0
2016-03-31,11.62,$0.35,33.41
2015-12-31,12.78,$-0.00,0.0
