BT Brands Price to Free Cash Flow Ratio Historical Data,BT Brands Price to Free Cash Flow Ratio Historical Data,BT Brands Price to Free Cash Flow Ratio Historical Data,BT Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.34,,0.0
2024-09-30,1.57,$-0.12,0.0
2024-06-30,1.59,$-0.13,0.0
2024-03-31,1.65,$-0.11,0.0
2023-12-31,2.5,$-0.04,0.0
2023-09-30,2.16,$-0.05,0.0
2023-06-30,2.45,$-0.07,0.0
2023-03-31,2.95,$-0.11,0.0
2022-12-31,1.83,$-0.04,0.0
2022-09-30,2.1,$0.16,13.19
