Scienture Holdings Price to Free Cash Flow Ratio Historical Data,Scienture Holdings Price to Free Cash Flow Ratio Historical Data,Scienture Holdings Price to Free Cash Flow Ratio Historical Data,Scienture Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.69,,0.0
2024-09-30,7.58,$-5.15,0.0
2024-06-30,10.14,$-4.03,0.0
2024-03-31,9.29,$-9.37,0.0
2023-12-31,2.56,$-0.87,0.0
2023-09-30,3.47,$2.29,1.51
2023-06-30,6.43,$0.62,10.42
2023-03-31,2.18,$-2.49,0.0
2022-12-31,2.98,$-2.76,0.0
2022-09-30,8.36,$-6.40,0.0
2022-06-30,11.98,$-6.65,0.0
2022-03-31,20.48,$-5.25,0.0
2021-12-31,17.45,$-4.77,0.0
2021-09-30,36.41,$-5.48,0.0
2021-06-30,32.68,$0.95,34.26
2021-03-31,38.75,$-4.82,0.0
2020-12-31,39.12,$-4.38,0.0
