LIZHI INC Price to Free Cash Flow Ratio Historical Data,LIZHI INC Price to Free Cash Flow Ratio Historical Data,LIZHI INC Price to Free Cash Flow Ratio Historical Data,LIZHI INC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.26,,0.0
2023-12-31,2.74,$-3.16,0.0
2023-09-30,3.86,$3.48,1.11
2023-06-30,9.1,$3.48,2.62
2023-03-31,7.54,$3.48,2.17
2022-12-31,6.3,$3.48,1.81
2022-09-30,5.89,$-1.91,0.0
2022-06-30,11.6,$-1.91,0.0
2022-03-31,15.2,$-1.91,0.0
2021-12-31,18.5,$-1.91,0.0
2021-09-30,31.7,$0.65,48.71
2021-06-30,73.3,$0.65,112.63
2021-03-31,91.5,$0.65,140.6
2020-12-31,38.8,$0.65,59.62
