Gerdau S.A Price to Free Cash Flow Ratio Historical Data,Gerdau S.A Price to Free Cash Flow Ratio Historical Data,Gerdau S.A Price to Free Cash Flow Ratio Historical Data,Gerdau S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.03,,4.17
2024-09-30,3.45,$0.73,4.75
2024-06-30,3.23,$0.47,6.92
2024-03-31,3.55,$0.60,5.95
2023-12-31,3.88,$0.57,6.81
2023-09-30,3.74,$0.40,9.38
2023-06-30,4.02,$0.48,8.32
2023-03-31,3.72,$0.58,6.46
2022-12-31,3.95,$0.64,6.2
2022-09-30,3.0,$1.18,2.54
2022-06-30,2.77,$1.16,2.38
2022-03-31,4.06,$0.88,4.61
2021-12-31,3.08,$0.82,3.75
2021-09-30,2.89,$0.45,6.36
2021-06-30,3.35,$0.48,6.93
2021-03-31,3.0,$0.46,6.52
2020-12-31,2.61,$0.44,5.98
2020-09-30,2.04,$0.01,185.6
2020-06-30,1.63,$0.10,16.3
2020-03-31,1.05,$0.15,7.13
2019-12-31,2.7,$-0.01,0.0
2019-09-30,1.73,$0.69,2.51
2019-06-30,2.13,$0.47,4.48
2019-03-31,2.12,$0.54,3.9
2018-12-31,2.05,$0.62,3.34
2018-09-30,2.3,$0.44,5.24
2018-06-30,1.92,$0.34,5.65
2018-03-31,2.51,$0.24,10.29
2017-12-31,2.0,$0.26,7.83
2017-09-30,1.84,$0.17,10.54
2017-06-30,1.63,$0.25,6.64
2017-03-31,1.85,$0.28,6.63
2016-12-31,1.68,$0.33,5.04
2016-09-30,1.46,$0.36,4.01
2016-06-30,0.97,$0.65,1.5
2016-03-31,0.95,$0.71,1.35
2015-12-31,0.64,$0.71,0.91
2015-09-30,0.73,$0.64,1.13
2015-06-30,1.26,$0.39,3.27
2015-03-31,1.67,$0.43,3.89
2014-12-31,1.84,$0.27,6.73
2014-09-30,2.47,$0.19,13.26
2014-06-30,3.02,$0.35,8.75
2014-03-31,3.27,$0.28,11.89
2013-12-31,3.98,$0.38,10.54
2013-09-30,3.76,$0.41,9.1
2013-06-30,2.87,$0.29,9.88
2013-03-31,3.86,$0.27,14.29
2012-12-31,4.5,$0.30,14.98
2012-09-30,4.74,$0.37,12.99
2012-06-30,4.35,$0.20,21.87
2012-03-31,4.76,$-0.22,0.0
2011-12-31,3.84,$-0.07,0.0
2011-09-30,3.48,$-0.17,0.0
2011-06-30,5.1,$0.31,16.26
2011-03-31,6.03,$0.93,6.51
2010-12-31,6.74,$0.91,7.38
2010-09-30,6.52,$1.04,6.27
2010-06-30,6.27,$1.11,5.63
2010-03-31,7.72,$1.32,5.86
2009-12-31,8.02,$1.43,5.61
