BioVie Price to Free Cash Flow Ratio Historical Data,BioVie Price to Free Cash Flow Ratio Historical Data,BioVie Price to Free Cash Flow Ratio Historical Data,BioVie Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.15,,0.0
2024-12-31,2.0,$-2.22,0.0
2024-09-30,1.2,$-3.43,0.0
2024-06-30,0.4,$-6.18,0.0
2024-03-31,0.53,$-9.54,0.0
2023-12-31,1.26,$-11.60,0.0
2023-09-30,3.41,$-12.32,0.0
2023-06-30,4.31,$-12.39,0.0
2023-03-31,8.08,$-10.65,0.0
2022-12-31,7.77,$-10.33,0.0
2022-09-30,2.49,$-10.02,0.0
2022-06-30,1.45,$-7.70,0.0
2022-03-31,4.72,$-11.21,0.0
2021-12-31,4.5,$-9.60,0.0
2021-09-30,6.69,$-7.68,0.0
2021-06-30,16.95,$-8.43,0.0
2021-03-31,19.34,$-3.34,0.0
2020-12-31,17.32,$-5.03,0.0
