Sensata Technologies Holding Price to Free Cash Flow Ratio Historical Data,Sensata Technologies Holding Price to Free Cash Flow Ratio Historical Data,Sensata Technologies Holding Price to Free Cash Flow Ratio Historical Data,Sensata Technologies Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.9,,10.7
2024-12-31,27.4,$2.61,10.51
2024-09-30,35.73,$2.06,17.33
2024-06-30,37.13,$2.03,18.31
2024-03-31,36.38,$1.82,19.95
2023-12-31,37.06,$1.79,20.72
2023-09-30,37.31,$2.60,14.37
2023-06-30,44.25,$2.40,18.46
2023-03-31,49.06,$2.31,21.24
2022-12-31,39.52,$1.99,19.85
2022-09-30,36.39,$1.54,23.58
2022-06-30,40.22,$1.72,23.38
2022-03-31,49.39,$2.16,22.88
2021-12-31,59.92,$2.57,23.31
2021-09-30,53.15,$3.35,15.86
2021-06-30,56.3,$3.42,16.44
2021-03-31,56.29,$2.92,19.31
2020-12-31,51.23,$2.87,17.88
2020-09-30,41.9,$2.26,18.57
2020-06-30,36.16,$2.50,14.45
2020-03-31,28.1,$2.83,9.92
2019-12-31,52.32,$2.83,18.49
2019-09-30,48.62,$2.80,17.34
2019-06-30,47.59,$2.68,17.78
2019-03-31,43.73,$2.61,16.75
2018-12-31,43.55,$2.71,16.05
2018-09-30,48.13,$2.62,18.37
2018-06-30,46.21,$2.47,18.68
2018-03-31,50.34,$2.41,20.87
2017-12-31,49.64,$2.40,20.69
2017-09-30,46.69,$2.13,21.92
2017-06-30,41.49,$2.23,18.64
2017-03-31,42.42,$2.21,19.21
2016-12-31,37.83,$2.28,16.58
2016-09-30,37.67,$2.51,15.03
2016-06-30,33.89,$2.44,13.89
2016-03-31,37.72,$2.32,16.28
2015-12-31,44.74,$2.10,21.27
2015-09-30,43.07,$1.70,25.39
2015-06-30,51.23,$1.25,41.11
2015-03-31,55.8,$1.35,41.39
2014-12-31,50.9,$1.42,35.95
2014-09-30,43.25,$1.42,30.48
2014-06-30,45.44,$1.84,24.72
2014-03-31,41.42,$1.82,22.78
2013-12-31,37.66,$1.76,21.42
2013-09-30,37.17,$1.94,19.15
2013-06-30,33.9,$1.82,18.62
2013-03-31,31.93,$1.76,18.17
2012-12-31,31.55,$1.92,16.46
2012-09-30,28.91,$1.72,16.86
2012-06-30,26.01,$1.65,15.8
2012-03-31,32.52,$1.40,23.29
2011-12-31,25.53,$1.20,21.35
2011-09-30,25.7,$1.33,19.31
2011-06-30,36.57,$1.50,24.45
2011-03-31,33.73,$1.59,21.26
2010-12-31,29.25,$1.43,20.44
