AdvanSix Price to Free Cash Flow Ratio Historical Data,AdvanSix Price to Free Cash Flow Ratio Historical Data,AdvanSix Price to Free Cash Flow Ratio Historical Data,AdvanSix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.31,,375.97
2024-12-31,28.49,$0.06,459.52
2024-09-30,30.22,$-0.24,0.0
2024-06-30,22.67,$-1.40,0.0
2024-03-31,28.11,$-1.49,0.0
2023-12-31,29.27,$0.36,80.59
2023-09-30,30.17,$0.97,31.22
2023-06-30,33.81,$2.45,13.79
2023-03-31,36.83,$4.58,8.04
2022-12-31,36.46,$6.34,5.75
2022-09-30,30.67,$5.44,5.64
2022-06-30,31.83,$6.29,5.06
2022-03-31,48.5,$5.04,9.62
2021-12-31,44.72,$5.58,8.02
2021-09-30,37.52,$6.24,6.01
2021-06-30,28.19,$4.77,5.91
2021-03-31,25.32,$3.03,8.35
2020-12-31,18.87,$1.03,18.37
2020-09-30,12.16,$-0.96,0.0
2020-06-30,11.08,$-1.73,0.0
2020-03-31,9.01,$-1.63,0.0
2019-12-31,18.84,$-1.04,0.0
2019-09-30,24.28,$0.09,273.12
2019-06-30,23.06,$1.18,19.55
2019-03-31,26.97,$1.73,15.58
2018-12-31,22.98,$2.07,11.09
2018-09-30,32.05,$2.32,13.79
2018-06-30,34.58,$1.89,18.3
2018-03-31,32.83,$2.04,16.09
2017-12-31,39.72,$1.55,25.64
2017-09-30,37.52,$1.98,18.97
