Franklin Wireless Price to Free Cash Flow Ratio Historical Data,Franklin Wireless Price to Free Cash Flow Ratio Historical Data,Franklin Wireless Price to Free Cash Flow Ratio Historical Data,Franklin Wireless Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.69,,6.29
2024-12-31,4.9,$0.91,5.41
2024-09-30,4.58,$0.59,7.8
2024-06-30,3.63,$-0.08,0.0
2024-03-31,2.99,$-0.18,0.0
2023-12-31,3.39,$-0.14,0.0
2023-09-30,3.2,$-0.62,0.0
2023-06-30,3.73,$-0.30,0.0
2023-03-31,4.98,$-0.75,0.0
2022-12-31,4.46,$-0.63,0.0
2022-09-30,2.92,$-0.28,0.0
2022-06-30,3.17,$-0.70,0.0
2022-03-31,3.99,$-1.38,0.0
2021-12-31,4.37,$-2.90,0.0
2021-09-30,7.26,$-0.41,0.0
2021-06-30,9.17,$0.98,9.34
2021-03-31,19.8,$3.56,5.56
2020-12-31,24.01,$5.12,4.69
