Myomo Price to Free Cash Flow Ratio Historical Data,Myomo Price to Free Cash Flow Ratio Historical Data,Myomo Price to Free Cash Flow Ratio Historical Data,Myomo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.42,,0.0
2024-12-31,6.44,$-0.12,0.0
2024-09-30,4.01,$-0.29,0.0
2024-06-30,3.21,$-0.28,0.0
2024-03-31,3.27,$-0.23,0.0
2023-12-31,5.01,$-0.21,0.0
2023-09-30,1.11,$-0.46,0.0
2023-06-30,0.52,$-0.81,0.0
2023-03-31,0.75,$-1.20,0.0
2022-12-31,0.51,$-1.47,0.0
2022-09-30,1.62,$-1.40,0.0
2022-06-30,1.68,$-1.41,0.0
2022-03-31,3.81,$-1.62,0.0
2021-12-31,6.85,$-1.69,0.0
2021-09-30,11.89,$-2.13,0.0
2021-06-30,10.8,$-1.66,0.0
2021-03-31,12.8,$-1.76,0.0
2020-12-31,6.73,$-2.73,0.0
2020-09-30,4.48,$-7.24,0.0
2020-06-30,3.69,$-11.30,0.0
2020-03-31,3.57,$-13.86,0.0
2019-12-31,9.02,$-18.76,0.0
2019-09-30,18.45,$-19.82,0.0
2019-06-30,21.0,$-21.93,0.0
2019-03-31,36.0,$-24.13,0.0
2018-12-31,43.2,$-23.74,0.0
2018-09-30,58.2,$-37.89,0.0
2018-06-30,88.8,$-18.89,0.0
2018-03-31,89.1,$-49.14,0.0
