Performance Shipping Price to Free Cash Flow Ratio Historical Data,Performance Shipping Price to Free Cash Flow Ratio Historical Data,Performance Shipping Price to Free Cash Flow Ratio Historical Data,Performance Shipping Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.56,,0.59
2024-09-30,1.88,$2.65,0.71
2024-06-30,2.16,$2.75,0.78
2024-03-31,1.89,$1.27,1.49
2023-12-31,2.27,$2.95,0.77
2023-09-30,1.97,$-8.18,0.0
2023-06-30,0.79,$-9.15,0.0
2023-03-31,0.77,$12.37,0.06
2022-12-31,3.54,$-12.27,0.0
2022-09-30,4.08,$-10.20,0.0
2022-06-30,8.27,$-6.55,0.0
2022-03-31,45.0,$-29.23,0.0
2021-12-31,55.65,$-11.62,0.0
2021-09-30,81.0,$-85.75,0.0
2021-06-30,82.5,$-48.89,0.0
2021-03-31,83.55,$-86.66,0.0
2020-12-31,9.0,$-81.76,0.0
2020-09-30,88.48,$-133.59,0.0
2020-06-30,88.48,$-173.64,0.0
2020-03-31,88.48,$-133.59,0.0
2019-12-31,124.05,$-133.59,0.0
2019-09-30,136.15,"$1,466.56",0.09
2019-06-30,143.16,$141.05,1.01
2019-03-31,175.57,"$1,466.56",0.12
2018-12-31,95.9,"$1,466.56",0.07
2018-09-30,187.38,"$-2,376.08",0.0
2018-06-30,233.11,$-148.45,0.0
2018-03-31,221.31,"$-2,376.08",0.0
2017-12-31,599.01,"$-2,376.08",0.0
2017-09-30,641.15,0,0.0
2017-06-30,113894.18,$-902.12,0.0
2017-03-31,394727.91,0,0.0
2016-12-31,844110.45,0,0.0
2016-09-30,998965.25,$-10.38,0.0
2016-06-30,1074874.46,$-6.63,0.0
2016-03-31,1403557.69,$-10.38,0.0
2015-12-31,1929052.17,$-10.38,0.0
2015-09-30,2990030.87,0,0.0
2015-06-30,5069148.59,$-4.31,0.0
2015-03-31,5924040.64,0,0.0
2014-12-31,4522828.68,$-0.58,0.0
2014-09-30,5406614.06,0,0.0
2014-06-30,6073833.97,$5.11,1187524.97
2013-12-31,9722935.81,$4.91,1979384.75
2013-06-30,9513843.91,$0.58,16477041.75
2012-12-31,12204113.01,$0.00,0.0
2012-06-30,13611167.51,$-4.55,0.0
2012-03-31,10711858.21,$-5.21,0.0
2011-12-31,9398910.71,0,0.0
