OraSure Technologies Price to Free Cash Flow Ratio Historical Data,OraSure Technologies Price to Free Cash Flow Ratio Historical Data,OraSure Technologies Price to Free Cash Flow Ratio Historical Data,OraSure Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.54,,11.17
2024-12-31,3.61,$0.32,11.4
2024-09-30,4.27,$0.86,4.97
2024-06-30,4.26,$1.15,3.7
2024-03-31,6.15,$1.77,3.48
2023-12-31,8.2,$1.76,4.65
2023-09-30,5.93,$1.01,5.85
2023-06-30,5.01,$0.68,7.34
2023-03-31,6.05,$-0.30,0.0
2022-12-31,4.82,$-1.53,0.0
2022-09-30,3.79,$-1.78,0.0
2022-06-30,2.71,$-2.24,0.0
2022-03-31,6.78,$-2.11,0.0
2021-12-31,8.69,$-1.16,0.0
2021-09-30,11.31,$-0.88,0.0
2021-06-30,10.14,$-0.55,0.0
2021-03-31,11.67,$-0.52,0.0
2020-12-31,10.59,$-0.31,0.0
2020-09-30,12.17,$-0.36,0.0
2020-06-30,11.63,$-0.11,0.0
2020-03-31,10.76,$0.04,266.34
2019-12-31,8.03,$0.01,0.0
2019-09-30,7.47,$0.46,16.18
2019-06-30,9.28,$0.36,25.9
2019-03-31,11.15,$0.40,28.21
2018-12-31,11.68,$0.52,22.3
2018-09-30,15.45,$0.26,59.65
2018-06-30,16.47,$0.21,78.28
2018-03-31,16.89,$0.28,59.3
2017-12-31,18.86,$0.39,48.32
2017-09-30,22.5,$0.41,55.2
2017-06-30,17.26,$0.44,39.18
2017-03-31,12.93,$0.50,25.77
2016-12-31,8.78,$0.36,24.51
2016-09-30,7.97,$0.36,22.03
2016-06-30,5.91,$0.54,10.92
2016-03-31,7.23,$0.39,18.51
2015-12-31,6.44,$0.21,30.43
2015-09-30,4.44,$0.21,21.39
2015-06-30,5.39,$0.22,24.87
2015-03-31,6.54,$0.11,61.12
2014-12-31,10.14,$0.08,125.5
2014-09-30,7.22,$0.30,24.07
2014-06-30,8.61,$0.08,112.11
2014-03-31,7.97,$0.10,76.2
2013-12-31,6.29,$0.11,59.01
2013-09-30,6.01,$-0.13,0.0
2013-06-30,3.88,$-0.27,0.0
2013-03-31,5.4,$-0.26,0.0
2012-12-31,7.18,$-0.14,0.0
2012-09-30,11.11,$-0.09,0.0
2012-06-30,11.24,$-0.15,0.0
2012-03-31,11.49,$-0.09,0.0
2011-12-31,9.11,$-0.12,0.0
2011-09-30,7.96,$-0.06,0.0
2011-06-30,8.53,$0.10,88.76
2011-03-31,7.86,$0.10,82.13
2010-12-31,5.75,$0.04,148.96
2010-09-30,4.05,$-0.10,0.0
2010-06-30,4.63,$-0.07,0.0
2010-03-31,5.93,$-0.08,0.0
2009-12-31,5.08,$-0.03,0.0
