Ellomay Capital Price to Free Cash Flow Ratio Historical Data,Ellomay Capital Price to Free Cash Flow Ratio Historical Data,Ellomay Capital Price to Free Cash Flow Ratio Historical Data,Ellomay Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.5,,0.0
2024-09-30,12.01,$-5.28,0.0
2024-06-30,11.58,$-2.80,0.0
2024-03-31,15.71,$-4.07,0.0
2023-12-31,14.95,$-4.32,0.0
2023-09-30,15.52,$-4.04,0.0
2023-06-30,18.0,$-3.87,0.0
2023-03-31,12.0,$-3.16,0.0
2022-12-31,14.91,$-3.09,0.0
2022-09-30,19.9,$-2.63,0.0
2022-06-30,22.39,$-1.64,0.0
2022-03-31,26.6,$-4.57,0.0
2021-12-31,28.4,$-5.96,0.0
2021-09-30,26.36,$-9.37,0.0
2021-06-30,30.8,$-11.09,0.0
2021-03-31,30.64,$-11.76,0.0
2020-12-31,33.62,$-13.36,0.0
2020-09-30,29.0,$-11.86,0.0
2020-06-30,21.03,$-10.85,0.0
2020-03-31,14.19,$-10.33,0.0
2019-12-31,18.46,$-7.18,0.0
2019-09-30,13.48,$-4.60,0.0
2019-06-30,11.19,$-3.87,0.0
2019-03-31,7.95,$-0.85,0.0
2018-09-30,8.28,$-0.13,0.0
2018-03-31,8.87,$-0.53,0.0
2017-09-30,8.36,$-0.10,0.0
2017-03-31,8.05,$0.28,29.05
2016-12-31,8.09,$0.26,30.66
2016-09-30,9.09,$1.09,8.33
2016-06-30,7.55,$0.72,10.43
2016-03-31,8.32,$0.77,10.74
2015-12-31,8.4,$0.83,10.18
2015-09-30,8.15,$0.54,15.13
2015-06-30,8.08,$0.41,19.91
2015-03-31,8.29,$0.35,23.7
2014-12-31,9.46,$0.25,37.76
2014-09-30,9.64,$0.14,70.25
2014-06-30,9.48,0,0.0
2014-03-31,9.58,$-0.05,0.0
2013-12-31,9.5,0,0.0
2013-06-30,7.49,0,0.0
2012-12-31,5.83,0,0.0
2012-06-30,5.85,0,0.0
2011-12-31,5.46,0,0.0
