Evoke Pharma Price to Free Cash Flow Ratio Historical Data,Evoke Pharma Price to Free Cash Flow Ratio Historical Data,Evoke Pharma Price to Free Cash Flow Ratio Historical Data,Evoke Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.8,,0.0
2024-12-31,4.42,$-2.87,0.0
2024-09-30,4.76,$-7.01,0.0
2024-06-30,6.35,$-10.22,0.0
2024-03-31,7.32,$-15.45,0.0
2023-12-31,12.6,$-17.90,0.0
2023-09-30,16.56,$-24.40,0.0
2023-06-30,19.8,$-23.99,0.0
2023-03-31,22.8,$-23.94,0.0
2022-12-31,32.16,$-25.19,0.0
2022-09-30,22.44,$-24.14,0.0
2022-06-30,38.88,$-46.80,0.0
2022-03-31,71.28,$-48.73,0.0
2021-12-31,79.2,$-55.29,0.0
2021-09-30,187.2,$-56.21,0.0
2021-06-30,197.28,$-39.41,0.0
2021-03-31,263.52,$-41.99,0.0
2020-12-31,371.52,$-37.48,0.0
2020-09-30,675.36,$-36.79,0.0
2020-06-30,509.76,$-33.14,0.0
2020-03-31,167.04,$-30.51,0.0
2019-12-31,233.28,$-37.24,0.0
2019-09-30,123.84,$-39.94,0.0
2019-06-30,90.0,$-42.42,0.0
2019-03-31,216.0,$-50.14,0.0
2018-12-31,357.12,$-60.58,0.0
2018-09-30,429.12,$-76.06,0.0
2018-06-30,360.0,$-88.85,0.0
2018-03-31,299.52,$-92.38,0.0
2017-12-31,325.44,$-84.02,0.0
2017-09-30,480.96,$-90.93,0.0
2017-06-30,368.44,$-71.51,0.0
2017-03-31,446.4,$-98.27,0.0
2016-12-31,290.88,$-134.39,0.0
2016-09-30,325.44,$-154.37,0.0
2016-06-30,986.4,$-202.96,0.0
2016-03-31,732.96,$-216.59,0.0
2015-12-31,475.2,$-233.21,0.0
2015-09-30,419.04,$-239.43,0.0
2015-06-30,753.12,$-282.05,0.0
2015-03-31,1015.2,$-297.42,0.0
2014-12-31,849.6,$-274.74,0.0
2014-09-30,791.93,$-259.41,0.0
2014-06-30,1164.96,$-306.20,0.0
