Clarus Price to Free Cash Flow Ratio Historical Data,Clarus Price to Free Cash Flow Ratio Historical Data,Clarus Price to Free Cash Flow Ratio Historical Data,Clarus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.95,,0.0
2024-12-31,4.51,$-0.36,0.0
2024-09-30,4.47,$-0.38,0.0
2024-06-30,6.65,$-0.17,0.0
2024-03-31,6.65,$0.18,36.98
2023-12-31,6.77,$0.70,9.61
2023-09-30,7.38,$1.13,6.54
2023-06-30,8.9,$0.82,10.86
2023-03-31,9.18,$0.55,16.61
2022-12-31,7.59,$0.18,41.17
2022-09-30,13.01,$-0.46,0.0
2022-06-30,18.32,$-0.66,0.0
2022-03-31,21.95,$-0.69,0.0
2021-12-31,26.68,$-0.49,0.0
2021-09-30,24.64,$-0.42,0.0
2021-06-30,24.69,$0.28,89.36
2021-03-31,16.36,$0.59,27.76
2020-12-31,14.75,$0.78,18.95
2020-09-30,13.51,$0.66,20.53
2020-06-30,11.06,$0.34,33.01
2020-03-31,9.31,$0.09,98.44
2019-12-31,12.86,$0.18,73.45
2019-09-30,11.1,$0.17,66.89
2019-06-30,13.64,$0.31,43.98
2019-03-31,12.08,$0.21,58.73
2018-12-31,9.52,$0.27,35.86
2018-09-30,10.37,$0.41,25.08
2018-06-30,7.73,$0.11,68.55
2018-03-31,6.32,$-0.23,0.0
2017-12-31,7.35,$-0.39,0.0
2017-09-30,7.02,$-0.65,0.0
2017-06-30,6.23,$-0.37,0.0
2017-03-31,5.1,$0.11,45.81
2016-12-31,5.01,$0.07,67.52
2016-09-30,4.81,$0.36,13.39
2016-06-30,3.88,$0.06,66.05
2016-03-31,4.23,$0.16,26.18
2015-12-31,4.14,$0.04,113.09
2015-09-30,5.88,$-0.15,0.0
2015-06-30,8.65,$-0.56,0.0
2015-03-31,8.85,$-0.84,0.0
2014-12-31,8.19,$-0.96,0.0
2014-09-30,7.08,$-0.77,0.0
2014-06-30,10.51,$-0.22,0.0
2014-03-31,11.45,$-0.11,0.0
2013-12-31,12.48,$0.09,132.1
2013-09-30,11.39,$-0.06,0.0
2013-06-30,8.79,$-0.21,0.0
2013-03-31,8.53,$-0.27,0.0
2012-12-31,7.68,$-0.28,0.0
2012-09-30,8.21,$-0.22,0.0
2012-06-30,8.85,$-0.29,0.0
2012-03-31,8.67,$-0.35,0.0
2011-12-31,7.0,$-0.35,0.0
2011-09-30,6.11,$-0.32,0.0
2011-06-30,7.38,$-0.38,0.0
2011-03-31,6.44,$-0.73,0.0
2010-12-31,7.41,$-0.79,0.0
2010-09-30,6.13,$-1.06,0.0
2010-06-30,6.46,$-0.61,0.0
2010-03-31,4.5,$-0.27,0.0
2009-12-31,3.98,$-0.22,0.0
