Barrick Gold Price to Free Cash Flow Ratio Historical Data,Barrick Gold Price to Free Cash Flow Ratio Historical Data,Barrick Gold Price to Free Cash Flow Ratio Historical Data,Barrick Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.28,,25.27
2024-12-31,15.5,$0.76,20.31
2024-09-30,19.78,$0.55,35.88
2024-06-30,16.5,$0.50,32.88
2024-03-31,16.46,$0.34,48.17
2023-12-31,17.77,$0.38,47.34
2023-09-30,14.21,$0.25,57.39
2023-06-30,16.44,$0.05,304.99
2023-03-31,17.92,$0.12,144.55
2022-12-31,16.48,$0.29,56.13
2022-09-30,14.73,$0.75,19.57
2022-06-30,16.59,$1.02,16.26
2022-03-31,22.78,$0.90,25.26
2021-12-31,17.57,$1.11,15.8
2021-09-30,16.61,$1.33,12.52
2021-06-30,18.95,$1.79,10.59
2021-03-31,18.07,$2.10,8.61
2020-12-31,20.69,$1.92,10.8
2020-09-30,25.43,$1.54,16.51
2020-06-30,24.31,$1.09,22.28
2020-03-31,16.48,$0.83,19.8
2019-12-31,16.67,$0.67,24.98
2019-09-30,15.49,$0.46,33.36
2019-06-30,14.07,$0.45,31.57
2019-03-31,12.19,$0.26,46.39
2018-12-31,12.04,$0.37,32.29
2018-09-30,9.8,$0.55,17.96
2018-06-30,11.58,$0.47,24.9
2018-03-31,10.96,$0.65,16.88
2017-12-31,12.7,$0.60,21.24
2017-09-30,14.09,$0.74,18.97
2017-06-30,13.91,$1.20,11.57
2017-03-31,16.57,$1.40,11.83
2016-12-31,13.92,$1.42,9.84
2016-09-30,15.42,$1.40,11.04
2016-06-30,18.56,$1.49,12.42
2016-03-31,11.79,$1.28,9.19
2015-12-31,6.4,$0.96,6.63
2015-09-30,5.5,$0.48,11.4
2015-06-30,9.19,$-0.08,0.0
2015-03-31,9.41,$-0.22,0.0
2014-12-31,9.19,$-0.05,0.0
2014-09-30,12.49,$-0.20,0.0
2014-06-30,15.55,$-0.36,0.0
2014-03-31,15.1,$-0.89,0.0
2013-12-31,14.89,$-1.19,0.0
2013-09-30,15.68,$-1.10,0.0
2013-06-30,13.22,$-0.93,0.0
2013-03-31,24.45,$-1.02,0.0
2012-12-31,28.93,$-0.77,0.0
2012-09-30,34.31,$-0.68,0.0
2012-06-30,30.7,$-0.47,0.0
2012-03-31,35.35,$-0.05,0.0
2011-12-31,36.68,$0.39,94.14
2011-09-30,37.7,$0.15,248.49
2011-06-30,36.51,$0.27,137.57
2011-03-31,41.64,$0.84,49.54
2010-12-31,42.55,$0.87,48.88
2010-09-30,36.95,$-4.40,0.0
2010-06-30,36.16,$-4.48,0.0
2010-03-31,30.38,$-4.61,0.0
2009-12-31,31.21,$-5.16,0.0
