Stifel Financial Price to Free Cash Flow Ratio Historical Data,Stifel Financial Price to Free Cash Flow Ratio Historical Data,Stifel Financial Price to Free Cash Flow Ratio Historical Data,Stifel Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,98.22,,26.16
2024-12-31,106.08,$3.75,28.25
2024-09-30,93.56,$0.36,260.39
2024-06-30,83.43,$0.52,159.22
2024-03-31,77.5,$1.78,43.48
2023-12-31,68.18,$3.94,17.29
2023-09-30,60.23,$8.61,7.0
2023-06-30,58.17,$11.12,5.23
2023-03-31,57.23,$11.50,4.98
2022-12-31,56.23,$9.15,6.15
2022-09-30,49.78,$5.84,8.52
2022-06-30,53.45,$8.65,6.18
2022-03-31,64.48,$5.70,11.3
2021-12-31,66.6,$7.02,9.48
2021-09-30,64.14,$6.11,10.5
2021-06-30,61.08,$2.43,25.11
2021-03-31,60.2,$14.64,4.11
2020-12-31,47.3,$13.86,3.41
2020-09-30,31.52,$15.80,2.0
2020-06-30,29.47,$14.99,1.97
2020-03-31,25.56,$2.39,10.67
2019-12-31,37.43,$3.98,9.41
2019-09-30,35.33,$3.47,10.19
2019-06-30,36.26,$2.02,17.95
2019-03-31,32.3,$3.00,10.77
2018-12-31,25.29,$3.63,6.96
2018-09-30,31.22,$-2.39,0.0
2018-06-30,31.76,$-0.84,0.0
2018-03-31,35.92,$0.19,192.32
2017-12-31,36.06,$5.36,6.73
2017-09-30,32.31,$4.89,6.6
2017-06-30,27.73,$4.22,6.57
2017-03-31,30.27,$-1.31,0.0
2016-12-31,30.12,$-4.04,0.0
2016-09-30,23.19,$-4.01,0.0
2016-06-30,18.97,$-1.55,0.0
2016-03-31,17.85,$-0.67,0.0
2015-12-31,25.54,$-2.81,0.0
2015-09-30,25.39,$2.09,12.14
2015-06-30,34.82,$0.37,93.43
2015-03-31,33.62,$2.22,15.16
2014-12-31,30.77,$1.95,15.76
2014-09-30,28.28,$1.76,16.1
2014-06-30,28.55,$1.79,15.96
2014-03-31,30.01,$2.54,11.8
2013-12-31,28.9,$6.08,4.76
2013-09-30,24.86,$1.34,18.6
2013-06-30,21.51,$1.00,21.51
2013-03-31,20.91,$-0.44,0.0
2012-12-31,19.28,$-3.00,0.0
2012-09-30,20.26,$0.88,23.08
2012-06-30,18.63,$-2.37,0.0
2012-03-31,22.82,$0.64,35.58
2011-12-31,19.33,$-0.15,0.0
2011-09-30,16.02,$0.34,47.37
2011-06-30,21.63,$0.07,290.66
2011-03-31,28.86,$-0.45,0.0
2010-12-31,24.94,$1.31,18.97
2010-09-30,18.61,$-0.70,0.0
2010-06-30,17.44,$2.15,8.11
2010-03-31,21.61,$-1.28,0.0
2009-12-31,23.82,$-5.16,0.0
