Telephone And Data Systems Price to Free Cash Flow Ratio Historical Data,Telephone And Data Systems Price to Free Cash Flow Ratio Historical Data,Telephone And Data Systems Price to Free Cash Flow Ratio Historical Data,Telephone And Data Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.07,,15.75
2024-12-31,34.11,$2.29,14.9
2024-09-30,23.22,$1.68,13.84
2024-06-30,20.67,$1.94,10.64
2024-03-31,15.94,$1.82,8.77
2023-12-31,18.04,$-0.61,0.0
2023-09-30,17.82,$-0.84,0.0
2023-06-30,7.93,$-2.86,0.0
2023-03-31,9.87,$-3.52,0.0
2022-12-31,9.68,$-0.05,0.0
2022-09-30,12.61,$-0.48,0.0
2022-06-30,14.16,$1.34,10.53
2022-03-31,16.74,$1.18,14.17
2021-12-31,17.69,$-0.24,0.0
2021-09-30,16.97,$0.68,25.08
2021-06-30,19.55,$0.19,103.1
2021-03-31,19.67,$1.30,15.14
2020-12-31,15.79,$1.69,9.36
2020-09-30,15.54,$0.61,25.68
2020-06-30,16.61,$0.50,33.4
2020-03-31,13.89,$-1.06,0.0
2019-12-31,20.85,$0.51,41.0
2019-09-30,21.01,$1.01,20.87
2019-06-30,24.61,$2.17,11.36
2019-03-31,24.74,$2.86,8.64
2018-12-31,26.06,$2.11,12.33
2018-09-30,24.26,$2.01,12.1
2018-06-30,21.75,$1.44,15.1
2018-03-31,22.1,$1.46,15.16
2017-12-31,21.79,$0.81,26.82
2017-09-30,21.74,$1.41,15.37
2017-06-30,21.5,$1.28,16.81
2017-03-31,20.43,$0.61,33.29
2016-12-31,22.12,$1.32,16.81
2016-09-30,20.72,$0.27,75.75
2016-06-30,22.48,$-0.66,0.0
2016-03-31,22.69,$-1.04,0.0
2015-12-31,19.42,$-0.10,0.0
2015-09-30,18.62,$-1.67,0.0
2015-06-30,21.81,$-1.89,0.0
2015-03-31,18.39,$-1.59,0.0
2014-12-31,18.55,$-3.74,0.0
2014-09-30,17.5,$-2.32,0.0
2014-06-30,18.97,$-5.05,0.0
2014-03-31,18.95,$-4.63,0.0
2013-12-31,18.53,$-3.57,0.0
2013-09-30,21.13,$-1.05,0.0
2013-06-30,17.55,$2.21,7.92
2013-03-31,14.91,$1.29,11.58
2012-12-31,15.58,$1.01,15.48
2012-09-30,17.92,$-0.23,0.0
2012-06-30,14.83,$0.72,20.65
2012-03-31,16.03,$1.37,11.71
2011-12-31,16.41,$2.60,6.31
2011-09-30,13.41,$3.72,3.61
2011-06-30,19.51,$3.38,5.76
2011-03-31,21.07,$4.09,5.15
2010-12-31,22.77,$3.05,7.47
2010-09-30,20.37,$3.31,6.15
2010-06-30,18.81,$4.17,4.51
2010-03-31,20.88,$3.92,5.33
2009-12-31,20.85,$3.84,5.44
