Artelo Biosciences Price to Free Cash Flow Ratio Historical Data,Artelo Biosciences Price to Free Cash Flow Ratio Historical Data,Artelo Biosciences Price to Free Cash Flow Ratio Historical Data,Artelo Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.99,,0.0
2024-12-31,1.06,$-2.59,0.0
2024-09-30,1.12,$-2.66,0.0
2024-06-30,1.34,$-2.99,0.0
2024-03-31,1.48,$-2.93,0.0
2023-12-31,1.4,$-2.77,0.0
2023-09-30,1.46,$-2.72,0.0
2023-06-30,1.99,$-2.74,0.0
2023-03-31,2.32,$-2.86,0.0
2022-12-31,2.89,$-2.83,0.0
2022-09-30,3.45,$-1.06,0.0
2022-06-30,4.75,$1.55,3.07
2022-03-31,6.75,$-0.73,0.0
2021-12-31,7.79,$2.15,3.63
2021-11-30,9.45,$2.04,4.64
2021-09-30,11.86,$-1.64,0.0
2021-08-31,13.66,$-0.00,0.0
2021-06-30,17.85,$-4.63,0.0
2021-05-31,18.6,$-7.41,0.0
2021-03-31,24.45,$9.28,2.63
2021-02-28,27.6,$6.32,4.37
2020-11-30,9.21,$-1.94,0.0
2020-08-31,14.4,$-4.69,0.0
2020-05-31,19.2,$-19.72,0.0
