American Water Works Price to Free Cash Flow Ratio Historical Data,American Water Works Price to Free Cash Flow Ratio Historical Data,American Water Works Price to Free Cash Flow Ratio Historical Data,American Water Works Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,141.81,,0.0
2024-12-31,124.49,$-4.16,0.0
2024-09-30,145.4,$-4.27,0.0
2024-06-30,127.73,$-4.21,0.0
2024-03-31,120.17,$-3.50,0.0
2023-12-31,129.04,$-3.63,0.0
2023-09-30,120.36,$-4.17,0.0
2023-06-30,138.06,$-4.39,0.0
2023-03-31,141.0,$-6.35,0.0
2022-12-31,146.1,$-3.19,0.0
2022-09-30,124.17,$0.55,226.01
2022-06-30,141.33,$1.04,135.39
2022-03-31,156.55,$3.57,43.83
2021-12-31,177.92,$0.82,217.32
2021-09-30,158.69,$-1.35,0.0
2021-06-30,144.2,$-1.58,0.0
2021-03-31,139.72,$-1.81,0.0
2020-12-31,142.55,$-2.16,0.0
2020-09-30,134.12,$-2.17,0.0
2020-06-30,118.65,$-1.90,0.0
2020-03-31,109.75,$-1.69,0.0
2019-12-31,112.35,$-1.23,0.0
2019-09-30,113.13,$-1.15,0.0
2019-06-30,105.19,$-0.95,0.0
2019-03-31,94.11,$-0.93,0.0
2018-12-31,81.55,$-0.92,0.0
2018-09-30,78.63,$-0.81,0.0
2018-06-30,75.92,$-0.58,0.0
2018-03-31,72.64,$-0.65,0.0
2017-12-31,80.49,$0.17,480.26
2017-09-30,70.85,$0.17,424.53
2017-06-30,67.92,$-0.15,0.0
2017-03-31,67.4,$0.10,709.47
2016-12-31,62.39,$-0.07,0.0
2016-09-30,64.19,$-0.04,0.0
2016-06-30,72.14,$0.20,357.5
2016-03-31,58.54,$0.24,240.23
2015-12-31,50.48,$0.22,227.18
2015-09-30,46.26,$0.28,168.05
2015-06-30,40.58,$0.27,147.83
2015-03-31,44.95,$0.42,107.61
2014-12-31,43.95,$0.86,51.04
2014-09-30,39.53,$0.37,105.57
2014-06-30,40.27,$0.59,68.36
2014-03-31,36.72,$0.18,199.92
2013-12-31,33.96,$-0.46,0.0
2013-09-30,32.96,$-0.01,0.0
2013-06-30,32.69,$0.28,116.89
2013-03-31,32.64,$0.84,39.08
2012-12-31,29.25,$3.31,8.83
2012-09-30,28.8,$3.07,9.37
2012-06-30,26.45,$2.35,11.26
2012-03-31,26.08,$1.60,16.25
2011-12-31,24.25,$-0.60,0.0
2011-09-30,22.8,$-0.54,0.0
2011-06-30,22.06,$-0.47,0.0
2011-03-31,20.85,$-0.22,0.0
2010-12-31,18.65,$0.05,342.19
2010-09-30,17.0,$-0.06,0.0
2010-06-30,14.9,$-0.24,0.0
2010-03-31,15.59,$-0.59,0.0
2009-12-31,15.91,$-1.12,0.0
