Brown Forman Price to Free Cash Flow Ratio Historical Data,Brown Forman Price to Free Cash Flow Ratio Historical Data,Brown Forman Price to Free Cash Flow Ratio Historical Data,Brown Forman Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.26,,28.45
2025-01-31,33.32,$1.20,27.67
2024-10-31,43.58,$1.04,41.84
2024-07-31,45.59,$0.96,47.59
2024-04-30,49.07,$0.88,55.89
2024-01-31,56.37,$0.79,71.21
2023-10-31,57.42,$0.48,120.43
2023-07-31,71.91,$0.64,112.91
2023-04-30,65.88,$0.95,69.26
2023-01-31,66.5,$1.00,66.43
2022-10-31,68.77,$1.57,43.77
2022-07-31,72.4,$1.60,45.36
2022-04-30,62.42,$1.66,37.59
2022-01-31,62.64,$1.76,35.53
2021-10-31,64.03,$1.67,38.32
2021-07-31,66.89,$1.77,37.83
2021-04-30,71.18,$1.57,45.32
2021-01-31,65.78,$1.49,44.09
2020-10-31,62.28,$1.51,41.22
2020-07-31,62.61,$1.32,47.3
2020-04-30,56.0,$1.27,44.03
2020-01-31,63.26,$1.27,49.82
2019-10-31,61.01,$1.25,48.84
2019-07-31,52.23,$1.31,39.98
2019-04-30,51.03,$1.41,36.13
2019-01-31,45.74,$1.12,40.92
2018-10-31,44.94,$1.22,36.82
2018-07-31,51.47,$1.14,45.18
2018-04-30,51.42,$1.09,47.34
2018-01-31,52.05,$1.34,38.93
2017-10-31,43.12,$1.16,37.11
2017-07-31,38.64,$1.05,36.88
2017-04-30,35.91,$1.11,32.22
2017-01-31,34.83,$0.88,39.76
2016-10-31,35.97,$0.90,40.0
2016-07-31,39.05,$0.83,46.84
2016-04-30,38.21,$0.81,46.91
2016-01-31,39.03,$1.10,35.64
2015-10-31,42.02,$1.08,38.82
2015-07-31,43.62,$0.97,44.86
2015-04-30,33.61,$0.92,36.69
2015-01-31,32.18,$0.94,34.07
2014-10-31,32.86,$0.73,44.71
2014-07-31,31.07,$1.00,31.04
2014-04-30,32.02,$0.98,32.8
2014-01-31,27.58,$0.81,33.89
2013-10-31,25.71,$0.85,30.24
2013-07-31,26.23,$0.82,32.05
2013-04-30,24.99,$0.82,30.39
2013-01-31,23.15,$0.84,27.51
2012-10-31,20.22,$0.83,24.38
2012-07-31,19.91,$0.87,22.81
2012-04-30,18.42,$0.85,21.73
2012-01-31,17.23,$0.79,21.92
2011-10-31,15.73,$0.84,18.62
2011-07-31,15.32,$0.83,18.39
2011-04-30,14.99,$0.91,16.47
2011-01-31,14.14,$0.89,15.93
2010-10-31,12.7,$0.89,14.23
2010-07-31,13.32,$0.91,14.71
2010-04-30,12.41,$0.92,13.48
2010-01-31,10.98,$0.98,11.25
2009-10-31,10.47,$1.13,9.3
