Lottery Price to Free Cash Flow Ratio Historical Data,Lottery Price to Free Cash Flow Ratio Historical Data,Lottery Price to Free Cash Flow Ratio Historical Data,Lottery Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.1,,0.0
2024-09-30,0.6,$-0.33,0.0
2024-06-30,0.27,$-0.94,0.0
2024-03-31,0.27,$-0.80,0.0
2023-12-31,0.27,$-0.81,0.0
2023-09-30,0.27,$-12.39,0.0
2023-06-30,5.45,$-12.43,0.0
2023-03-31,5.6,$-13.61,0.0
2022-12-31,3.53,$-12.45,0.0
2022-09-30,4.5,$1.90,2.37
2022-06-30,22.4,$-14.45,0.0
2022-03-31,62.8,$-13.63,0.0
2021-12-31,127.4,$-17.86,0.0
2021-09-30,232.0,$-13.41,0.0
2021-06-30,252.6,$2.10,120.36
2021-03-31,238.8,$1.08,221.93
2020-12-31,239.2,$4.13,57.96
2020-09-30,218.5,$-3.51,0.0
2020-06-30,216.0,$-3.03,0.0
2020-03-31,216.4,$-3.93,0.0
2019-12-31,211.0,$-4.30,0.0
2019-09-30,208.4,$-4.28,0.0
2019-06-30,206.8,$-4.01,0.0
2019-03-31,203.8,$-2.86,0.0
