Shyft Price to Free Cash Flow Ratio Historical Data,Shyft Price to Free Cash Flow Ratio Historical Data,Shyft Price to Free Cash Flow Ratio Historical Data,Shyft Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.49,,19.81
2024-12-31,11.74,$0.48,24.51
2024-09-30,12.51,$0.36,34.79
2024-06-30,11.77,$-0.03,0.0
2024-03-31,12.28,$0.70,17.5
2023-12-31,12.03,$1.02,11.77
2023-09-30,14.68,$1.38,10.63
2023-06-30,21.55,$0.92,23.4
2023-03-31,22.18,$-0.12,0.0
2022-12-31,24.2,$-1.11,0.0
2022-09-30,19.85,$-0.91,0.0
2022-06-30,18.03,$0.35,52.15
2022-03-31,34.93,$0.67,52.49
2021-12-31,47.48,$1.41,33.58
2021-09-30,36.72,$1.70,21.62
2021-06-30,36.11,$1.63,22.19
2021-03-31,35.89,$1.73,20.75
2020-12-31,27.36,$1.38,19.8
2020-09-30,18.18,$1.07,17.0
2020-06-30,16.2,$0.21,76.5
2020-03-31,12.38,$0.26,47.94
2019-12-31,17.33,$0.68,25.42
2019-09-30,13.12,$0.32,41.48
2019-06-30,10.48,$0.13,77.67
2019-03-31,8.4,$-0.10,0.0
2018-12-31,6.87,$-0.03,0.0
2018-09-30,13.94,$0.15,96.06
2018-06-30,14.27,$0.36,39.86
2018-03-31,16.2,$0.43,37.38
2017-12-31,14.84,$0.48,31.07
2017-09-30,10.37,$-0.08,0.0
2017-06-30,8.31,$-0.10,0.0
2017-03-31,7.47,$0.16,45.43
2016-12-31,8.64,$0.29,29.88
2016-09-30,8.89,$0.72,12.29
2016-06-30,5.81,$0.72,8.02
2016-03-31,3.63,$0.84,4.32
2015-12-31,2.86,$0.24,11.85
2015-09-30,3.75,$-0.10,0.0
2015-06-30,4.16,$-0.12,0.0
2015-03-31,4.36,$-0.27,0.0
2014-12-31,4.73,$0.11,43.91
2014-09-30,4.16,$0.43,9.79
2014-06-30,4.05,$0.56,7.21
2014-03-31,4.54,$0.35,12.82
2013-12-31,5.91,$0.29,20.45
2013-09-30,5.31,$-0.17,0.0
2013-06-30,5.36,$-0.50,0.0
2013-03-31,4.61,$-0.58,0.0
2012-12-31,4.27,$-0.18,0.0
2012-09-30,4.3,$-0.01,0.0
2012-06-30,4.5,$0.17,25.87
2012-03-31,4.5,$0.54,8.36
2011-12-31,4.09,$0.77,5.32
2011-09-30,3.48,$0.96,3.63
2011-06-30,4.55,$1.13,4.04
2011-03-31,5.73,$1.28,4.47
2010-12-31,5.09,$1.06,4.8
2010-09-30,3.84,$0.92,4.16
2010-06-30,3.48,$1.37,2.54
2010-03-31,4.59,$0.68,6.74
2009-12-31,4.62,$0.88,5.25
