"AMNEAL PHARMACEUTICALS, INC Price to Free Cash Flow Ratio Historical Data","AMNEAL PHARMACEUTICALS, INC Price to Free Cash Flow Ratio Historical Data","AMNEAL PHARMACEUTICALS, INC Price to Free Cash Flow Ratio Historical Data","AMNEAL PHARMACEUTICALS, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.01,,11.86
2024-12-31,7.92,$0.76,10.42
2024-09-30,8.32,$1.05,7.91
2024-06-30,6.35,$1.06,6.0
2024-03-31,6.06,$0.81,7.52
2023-12-31,6.07,$1.70,3.58
2023-09-30,4.22,$0.86,4.92
2023-06-30,3.1,$0.96,3.24
2023-03-31,1.39,$0.23,5.96
2022-12-31,1.99,$0.11,18.43
2022-09-30,2.02,$0.66,3.07
2022-06-30,3.18,$0.63,5.03
2022-03-31,4.17,$1.11,3.75
2021-12-31,4.79,$1.29,3.71
2021-09-30,5.34,$1.47,3.64
2021-06-30,5.12,$1.18,4.33
2021-03-31,6.73,$2.74,2.45
2020-12-31,4.57,$2.13,2.15
2020-09-30,3.88,$1.22,3.18
2020-06-30,4.76,$2.01,2.37
2020-03-31,3.48,$0.93,3.75
2019-12-31,4.82,$-0.34,0.0
2019-09-30,2.9,$2.15,1.35
2019-06-30,7.17,$1.45,4.95
2019-03-31,14.17,$0.52,27.11
2018-12-31,13.53,$1.51,8.94
