CompX Price to Free Cash Flow Ratio Historical Data,CompX Price to Free Cash Flow Ratio Historical Data,CompX Price to Free Cash Flow Ratio Historical Data,CompX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.3,,12.77
2024-12-31,26.15,$1.75,14.98
2024-09-30,28.9,$2.27,12.76
2024-06-30,22.54,$2.12,10.61
2024-03-31,30.94,$1.89,16.38
2023-12-31,22.57,$2.00,11.26
2023-09-30,16.42,$1.57,10.43
2023-06-30,19.04,$1.89,10.07
2023-03-31,15.59,$1.62,9.62
2022-12-31,15.72,$1.08,14.55
2022-09-30,13.64,$0.46,29.67
2022-06-30,18.0,$0.30,59.95
2022-03-31,18.05,$0.44,41.25
2021-12-31,17.06,$0.51,33.17
2021-09-30,15.63,$0.94,16.69
2021-06-30,15.49,$0.94,16.55
2021-03-31,13.3,$0.91,14.55
2020-12-31,10.37,$1.11,9.38
2020-09-30,10.82,$1.06,10.16
2020-06-30,9.93,$1.23,8.09
2020-03-31,10.85,$1.39,7.78
2019-12-31,10.34,$1.24,8.34
2019-09-30,10.11,$1.08,9.37
2019-06-30,11.87,$1.09,10.87
2019-03-31,10.23,$1.00,10.21
2018-12-31,9.47,$1.13,8.38
2018-09-30,9.43,$1.11,8.53
2018-06-30,9.12,$0.95,9.62
2018-03-31,9.5,$0.78,12.13
2017-12-31,9.12,$0.79,11.58
2017-09-30,10.42,$0.96,10.87
2017-06-30,10.36,$1.07,9.72
2017-03-31,10.42,$1.09,9.55
2016-12-31,10.89,$0.86,12.64
2016-09-30,7.8,$0.86,9.09
2016-06-30,7.71,$0.71,10.8
2016-03-31,7.01,$0.76,9.27
2015-12-31,7.58,$0.75,10.15
2015-09-30,7.27,$0.69,10.59
2015-06-30,7.77,$0.79,9.77
2015-03-31,7.45,$0.70,10.69
2014-12-31,7.89,$0.75,10.47
2014-09-30,6.7,$0.63,10.63
2014-06-30,6.76,$0.44,15.48
2014-03-31,6.59,$0.37,17.8
2013-12-31,9.03,$-0.49,0.0
2013-09-30,8.29,$0.06,141.02
2013-06-30,8.89,$0.17,53.46
2013-03-31,8.03,$0.21,38.06
2012-12-31,8.98,$1.04,8.63
2012-09-30,9.45,$0.77,12.24
2012-06-30,7.76,$0.87,8.98
2012-03-31,8.48,$0.80,10.59
2011-12-31,8.9,$1.05,8.52
2011-09-30,7.61,$1.07,7.13
2011-06-30,7.83,$1.03,7.63
2011-03-31,9.27,$1.08,8.57
2010-12-31,6.7,$0.88,7.62
2010-09-30,7.63,$0.68,11.22
2010-06-30,5.62,$0.69,8.18
2010-03-31,5.08,$0.86,5.9
2009-12-31,4.21,$1.05,4.02
