Oramed Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Oramed Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Oramed Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Oramed Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.37,,0.0
2024-09-30,2.44,$-0.19,0.0
2024-06-30,2.57,$-0.04,0.0
2024-03-31,2.92,$-0.15,0.0
2023-12-31,2.31,$-0.26,0.0
2023-09-30,2.61,$-0.44,0.0
2023-06-30,3.58,$-0.48,0.0
2023-03-31,2.18,$-0.63,0.0
2022-12-31,12.03,$-0.73,0.0
2022-09-30,6.48,$-0.62,0.0
2022-06-30,4.58,$-0.35,0.0
2022-03-31,8.65,$-0.54,0.0
2021-12-31,14.28,$-0.03,0.0
2021-11-30,19.22,$0.33,58.98
2021-09-30,21.98,$-0.27,0.0
2021-08-31,19.68,0,0.0
2021-06-30,13.38,$-0.63,0.0
2021-05-31,11.52,$-1.15,0.0
2021-03-31,10.16,$-0.34,0.0
2021-02-28,8.91,$-0.26,0.0
2020-11-30,4.26,$-0.27,0.0
2020-08-31,3.49,$-0.17,0.0
2020-05-31,3.14,$-0.05,0.0
2020-02-29,4.08,$-0.20,0.0
2019-11-30,4.41,$-0.17,0.0
2019-08-31,3.32,$-0.24,0.0
2019-05-31,3.0,$-0.10,0.0
2019-02-28,3.2,$-0.15,0.0
2018-11-30,4.08,$-0.24,0.0
2018-08-31,4.95,$-0.19,0.0
2018-05-31,7.91,$-0.60,0.0
2018-02-28,7.25,$-0.51,0.0
2017-11-30,9.14,$-0.19,0.0
2017-08-31,8.65,$0.11,76.28
2017-05-31,8.15,$-0.01,0.0
2017-02-28,6.05,$-0.00,0.0
2016-11-30,6.14,$0.11,54.14
2016-08-31,7.21,$-0.19,0.0
2016-05-31,8.72,$0.00,0.0
2016-02-29,7.09,$0.09,79.48
2015-11-30,9.1,$-0.19,0.0
2015-08-31,5.62,$-0.14,0.0
2015-05-31,6.66,$-0.17,0.0
2015-02-28,4.52,$-0.17,0.0
2014-11-30,6.0,$-0.14,0.0
2014-08-31,10.14,$-0.09,0.0
2014-05-31,8.33,$0.01,0.0
2014-02-28,14.86,$-0.05,0.0
2013-11-30,8.3,$-0.09,0.0
2013-08-31,7.29,$0.12,62.79
2013-05-31,9.18,$-0.43,0.0
2013-02-28,9.0,$0.05,186.34
2012-12-31,3.96,$0.18,21.49
2012-11-30,3.72,$-0.12,0.0
2012-08-31,3.84,$-0.01,0.0
2012-05-31,4.08,$-0.34,0.0
2012-02-29,3.36,$-0.19,0.0
2011-11-30,3.6,$0.01,333.33
2011-09-30,4.2,0,0.0
2011-08-31,3.48,0,0.0
2011-06-30,3.48,$-0.01,0.0
2011-05-31,3.96,$-0.02,0.0
2011-03-31,3.24,$-0.01,0.0
