Casey's General Stores Price to Free Cash Flow Ratio Historical Data,Casey's General Stores Price to Free Cash Flow Ratio Historical Data,Casey's General Stores Price to Free Cash Flow Ratio Historical Data,Casey's General Stores Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,394.84,,27.11
2025-01-31,421.77,$14.56,28.96
2024-10-31,393.52,$11.70,33.64
2024-07-31,386.84,$11.24,34.43
2024-04-30,318.76,$10.64,29.96
2024-01-31,270.3,$9.99,27.06
2023-10-31,270.42,$11.16,24.24
2023-07-31,250.88,$10.37,24.19
2023-04-30,226.82,$11.26,20.14
2023-01-31,233.46,$14.58,16.02
2022-10-31,229.92,$13.28,17.31
2022-07-31,199.9,$13.83,14.45
2022-04-30,198.19,$14.25,13.91
2022-01-31,184.59,$12.35,14.94
2021-10-31,187.91,$13.10,14.34
2021-07-31,193.6,$11.71,16.53
2021-04-30,217.2,$14.25,15.24
2021-01-31,182.99,$11.68,15.66
2020-10-31,164.24,$10.57,15.54
2020-07-31,154.8,$8.05,19.24
2020-04-30,146.94,$1.89,77.64
2020-01-31,155.79,$2.97,52.49
2019-10-31,165.09,$2.81,58.73
2019-07-31,156.2,$4.47,34.93
2019-04-30,127.43,$3.81,33.42
2019-01-31,123.62,$1.25,98.88
2018-10-31,120.88,$-0.92,0.0
2018-07-31,104.61,$-3.22,0.0
2018-04-30,92.14,$-4.00,0.0
2018-01-31,115.21,$-2.41,0.0
2017-10-31,108.75,$-0.33,0.0
2017-07-31,101.1,$-0.56,0.0
2017-04-30,105.88,$0.76,139.59
2017-01-31,108.32,$0.95,113.58
2016-10-31,106.3,$2.02,52.52
2016-07-31,125.37,$4.00,31.33
2016-04-30,104.96,$2.15,48.86
2016-01-31,112.92,$2.07,54.58
2015-10-31,99.16,$1.12,88.74
2015-07-31,95.22,$-0.79,0.0
2015-04-30,76.39,$-0.24,0.0
2015-01-31,84.66,$-0.29,0.0
2014-10-31,75.75,$-0.64,0.0
2014-07-31,61.08,$-0.76,0.0
2014-04-30,63.19,$0.23,277.37
2014-01-31,63.03,$-0.02,0.0
2013-10-31,66.72,$0.21,321.69
2013-07-31,60.48,$0.39,154.33
2013-04-30,52.74,$-0.40,0.0
2013-01-31,49.7,$-0.74,0.0
2012-10-31,46.67,$-0.50,0.0
2012-07-31,53.64,$-0.64,0.0
2012-04-30,50.72,$1.46,34.64
2012-01-31,45.73,$1.49,30.76
2011-10-31,44.35,$1.27,34.83
2011-07-31,40.16,$2.92,13.76
2011-04-30,34.71,$1.16,29.85
2011-01-31,37.66,$1.19,31.63
2010-10-31,36.63,$2.39,15.34
2010-07-31,33.68,$2.10,16.06
2010-04-30,33.93,$1.70,20.0
2010-01-31,26.89,$1.82,14.77
2009-10-31,27.56,$1.89,14.59
