Intelligent Bio Solutions Price to Free Cash Flow Ratio Historical Data,Intelligent Bio Solutions Price to Free Cash Flow Ratio Historical Data,Intelligent Bio Solutions Price to Free Cash Flow Ratio Historical Data,Intelligent Bio Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.09,,0.0
2024-12-31,1.4,$-2.73,0.0
2024-09-30,1.73,$-0.02,0.0
2024-06-30,1.92,$-6.15,0.0
2024-03-31,4.22,$-18.38,0.0
2023-12-31,0.34,$-35.48,0.0
2023-09-30,1.03,$-62.69,0.0
2023-06-30,2.78,$-94.16,0.0
2023-03-31,2.9,$-111.02,0.0
2022-12-31,0.2,$-102.70,0.0
2022-09-30,0.42,$-100.86,0.0
2022-06-30,0.66,$-61.22,0.0
2022-03-31,0.78,$-93.94,0.0
2021-12-31,1.44,$-185.90,0.0
2021-09-30,2.52,$-259.00,0.0
