ClearSign Technologies Price to Free Cash Flow Ratio Historical Data,ClearSign Technologies Price to Free Cash Flow Ratio Historical Data,ClearSign Technologies Price to Free Cash Flow Ratio Historical Data,ClearSign Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.79,,0.0
2024-09-30,0.85,$-0.11,0.0
2024-06-30,0.83,$-0.12,0.0
2024-03-31,0.97,$-0.10,0.0
2023-12-31,1.11,$-0.08,0.0
2023-09-30,1.09,$-0.07,0.0
2023-06-30,1.31,$-0.05,0.0
2023-03-31,0.8,$-0.11,0.0
2022-12-31,0.54,$-0.14,0.0
2022-09-30,0.92,$-0.15,0.0
2022-06-30,1.21,$-0.20,0.0
2022-03-31,1.63,$-0.21,0.0
2021-12-31,1.38,$-0.22,0.0
2021-09-30,2.0,$-0.24,0.0
2021-06-30,4.8,$-0.22,0.0
2021-03-31,5.68,$-0.21,0.0
2020-12-31,2.93,$-0.21,0.0
2020-09-30,2.26,$-0.20,0.0
2020-06-30,2.08,$-0.22,0.0
2020-03-31,0.72,$-0.24,0.0
2019-12-31,0.76,$-0.26,0.0
2019-09-30,1.23,$-0.33,0.0
2019-06-30,1.15,$-0.30,0.0
2019-03-31,0.9,$-0.34,0.0
2018-12-31,1.02,$-0.37,0.0
2018-09-30,1.6,$-0.40,0.0
2018-06-30,2.0,$-0.48,0.0
2018-03-31,2.03,$-0.49,0.0
2017-12-31,3.6,$-0.54,0.0
2017-09-30,3.55,$-0.57,0.0
2017-06-30,3.8,$-0.57,0.0
2017-03-31,3.9,$-0.62,0.0
2016-12-31,3.4,$-0.68,0.0
2016-09-30,6.0,$-0.64,0.0
2016-06-30,5.01,$-0.64,0.0
2016-03-31,3.99,$-0.56,0.0
2015-12-31,4.85,$-0.51,0.0
2015-09-30,6.19,$-0.51,0.0
2015-06-30,5.41,$-0.50,0.0
2015-03-31,5.29,$-0.56,0.0
2014-12-31,7.33,$-0.58,0.0
2014-09-30,6.68,$-0.57,0.0
2014-06-30,9.18,$-0.56,0.0
2014-03-31,10.91,$-0.56,0.0
2013-12-31,11.45,$-0.51,0.0
2013-09-30,7.05,$-0.61,0.0
2013-06-30,8.72,$-0.59,0.0
2013-03-31,7.11,$-0.60,0.0
