Abeona Therapeutics Price to Free Cash Flow Ratio Historical Data,Abeona Therapeutics Price to Free Cash Flow Ratio Historical Data,Abeona Therapeutics Price to Free Cash Flow Ratio Historical Data,Abeona Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.14,,0.0
2024-09-30,6.32,$-1.47,0.0
2024-06-30,4.24,$-1.07,0.0
2024-03-31,7.25,$-1.59,0.0
2023-12-31,5.01,$-1.74,0.0
2023-09-30,4.21,$-2.09,0.0
2023-06-30,4.03,$-2.88,0.0
2023-03-31,2.82,$-3.65,0.0
2022-12-31,3.08,$-5.33,0.0
2022-09-30,3.04,$-12.84,0.0
2022-06-30,5.2,$-14.78,0.0
2022-03-31,7.88,$-16.39,0.0
2021-12-31,8.43,$-17.73,0.0
2021-09-30,28.0,$-9.70,0.0
2021-06-30,39.0,$-10.02,0.0
2021-03-31,47.0,$-9.82,0.0
2020-12-31,39.25,$-9.81,0.0
2020-09-30,25.5,$-16.15,0.0
2020-06-30,72.88,$-22.56,0.0
2020-03-31,52.5,$-29.53,0.0
2019-12-31,81.75,$-34.32,0.0
2019-09-30,56.5,$-36.90,0.0
2019-06-30,119.5,$-33.01,0.0
2019-03-31,184.0,$-29.91,0.0
2018-12-31,178.5,$-25.43,0.0
2018-09-30,320.0,$-19.19,0.0
2018-06-30,400.0,$-17.92,0.0
2018-03-31,358.75,$-14.46,0.0
2017-12-31,396.25,$-14.12,0.0
2017-09-30,426.25,$-13.29,0.0
2017-06-30,160.0,$-12.12,0.0
2017-03-31,125.0,$-11.49,0.0
2016-12-31,121.25,$-9.90,0.0
2016-09-30,150.0,$-10.92,0.0
2016-06-30,59.0,$-9.62,0.0
2016-03-31,64.0,$-4.50,0.0
2015-12-31,84.0,$-6.37,0.0
2015-09-30,101.25,$0.12,851.56
2015-06-30,126.5,$-4.43,0.0
2015-03-31,78.5,$-18.66,0.0
2014-12-31,86.25,$-20.73,0.0
2014-09-30,350.0,$-47.25,0.0
2014-06-30,375.0,$-85.93,0.0
2014-03-31,687.5,$11.11,61.91
2013-12-31,312.5,$-0.05,0.0
2013-09-30,562.5,$-60.12,0.0
2013-06-30,600.0,$-40.02,0.0
2013-03-31,612.5,$-165.64,0.0
2012-12-31,300.0,$-205.14,0.0
2012-09-30,562.5,$-235.82,0.0
2012-06-30,812.5,$-402.08,0.0
2012-03-31,1412.5,$-479.35,0.0
2011-12-31,1800.0,$-478.46,0.0
2011-09-30,2562.5,$-505.26,0.0
2011-06-30,2562.5,$-550.64,0.0
2011-03-31,2762.5,$-450.65,0.0
2010-12-31,3100.0,$-549.08,0.0
2010-09-30,2437.5,$-526.94,0.0
2010-06-30,2450.0,$-249.54,0.0
2010-03-31,3137.5,$-335.75,0.0
2009-12-31,4112.5,$-237.96,0.0
