"G Willi-Food, Price to Free Cash Flow Ratio Historical Data","G Willi-Food, Price to Free Cash Flow Ratio Historical Data","G Willi-Food, Price to Free Cash Flow Ratio Historical Data","G Willi-Food, Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.31,,622.48
2024-09-30,10.82,$0.03,413.05
2024-06-30,9.24,$-0.01,0.0
2024-03-31,10.05,$0.69,14.49
2023-12-31,10.03,$0.21,48.65
2023-09-30,10.13,$-0.22,0.0
2023-06-30,11.82,$-0.33,0.0
2023-03-31,13.62,$-0.52,0.0
2022-12-31,12.16,$0.02,555.43
2022-09-30,12.17,$-0.16,0.0
2022-06-30,13.92,$0.40,35.05
2022-03-31,16.13,$0.85,18.92
2021-12-31,16.42,$0.92,17.91
2021-09-30,17.55,$1.27,13.77
2021-06-30,18.09,$1.00,18.13
2021-03-31,18.6,$1.41,13.21
2020-12-31,17.43,$1.33,13.15
2020-09-30,16.07,$0.66,24.24
2020-06-30,12.69,$0.57,22.27
2020-03-31,9.12,$-0.12,0.0
2019-12-31,9.73,$-0.10,0.0
2019-09-30,8.96,$0.61,14.65
2019-06-30,8.07,$0.34,23.88
2019-03-31,6.67,$0.45,14.85
2018-12-31,5.69,$0.51,11.16
2018-09-30,5.79,$0.77,7.51
2018-06-30,5.82,$1.27,4.6
2018-03-31,5.78,$1.24,4.67
2017-12-31,5.85,$0.26,22.12
2017-09-30,4.77,$-0.16,0.0
2017-06-30,6.19,$-0.73,0.0
2017-03-31,4.93,$-0.58,0.0
2016-12-31,4.7,$0.31,15.22
2016-09-30,4.13,$0.15,28.2
2016-06-30,3.31,$0.47,7.06
2016-03-31,2.87,$0.51,5.59
2015-12-31,3.19,$0.23,13.81
2015-09-30,3.44,$0.51,6.74
2015-06-30,4.46,$0.27,16.69
2015-03-31,4.36,$0.31,13.86
2014-12-31,5.3,$0.25,21.34
2014-09-30,5.42,$-0.01,0.0
2014-06-30,5.73,$-0.05,0.0
2014-03-31,5.89,$-0.17,0.0
2013-12-31,6.27,$-0.05,0.0
2013-09-30,5.53,$-0.20,0.0
2013-06-30,5.25,$-0.04,0.0
2013-03-31,5.07,$-0.10,0.0
2012-12-31,3.64,$-0.18,0.0
2012-09-30,3.17,$0.17,18.12
2012-06-30,3.4,$0.09,37.26
2012-03-31,3.39,$0.08,40.41
2011-12-31,3.5,$0.42,8.39
2011-09-30,4.55,$0.48,9.4
2011-06-30,5.42,$0.60,9.1
2011-03-31,6.0,$0.97,6.2
2010-12-31,4.96,$0.33,15.19
2010-09-30,4.9,$-0.03,0.0
2010-06-30,4.47,$-0.17,0.0
2010-03-31,4.56,$-0.23,0.0
2009-12-31,4.82,$0.40,11.97
