Office Properties Income Trust Price to Free Cash Flow Ratio Historical Data,Office Properties Income Trust Price to Free Cash Flow Ratio Historical Data,Office Properties Income Trust Price to Free Cash Flow Ratio Historical Data,Office Properties Income Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.59,,0.23
2024-12-31,1.0,$2.58,0.39
2024-09-30,2.17,$0.47,4.6
2024-06-30,2.02,$0.56,3.61
2024-03-31,2.01,$-0.33,0.0
2023-12-31,7.2,$-0.99,0.0
2023-09-30,3.8,$-1.18,0.0
2023-06-30,6.92,$1.24,5.58
2023-03-31,10.66,$2.89,3.69
2022-12-31,11.19,$3.97,2.82
2022-09-30,11.34,$5.38,2.11
2022-06-30,15.66,$3.22,4.86
2022-03-31,19.74,$-7.29,0.0
2021-12-31,18.65,$-4.61,0.0
2021-09-30,18.64,$-5.21,0.0
2021-06-30,21.16,$-4.68,0.0
2021-03-31,19.48,$6.20,3.14
2020-12-31,15.73,$4.30,3.66
2020-09-30,13.96,$9.96,1.4
2020-06-30,17.11,$15.66,1.09
2020-03-31,17.61,$16.45,1.07
2019-12-31,20.44,$20.38,1.0
2019-09-30,19.16,$22.11,0.87
2019-06-30,16.1,$16.38,0.98
2019-03-31,16.6,$21.07,0.79
2018-12-31,16.23,$17.21,0.94
2018-09-30,26.67,$-17.59,0.0
2018-06-30,36.37,$-44.38,0.0
2018-03-31,30.3,$-49.54,0.0
2017-12-31,40.16,$-51.06,0.0
2017-09-30,39.72,$-29.33,0.0
2017-06-30,37.84,$-2.80,0.0
2017-03-31,42.43,$-2.78,0.0
2016-12-31,37.81,$-5.99,0.0
2016-09-30,43.96,$0.13,340.8
2016-06-30,43.99,$1.05,42.04
2016-03-31,33.25,$0.99,33.65
2015-12-31,28.61,$7.17,3.99
2015-09-30,27.89,$8.36,3.34
2015-06-30,31.6,$8.80,3.59
2015-03-31,38.18,$5.80,6.58
2014-12-31,37.73,$4.51,8.37
2014-09-30,35.26,$-1.99,0.0
2014-06-30,40.16,$-5.19,0.0
2014-03-31,39.19,$-2.01,0.0
2013-12-31,37.97,$-0.67,0.0
2013-09-30,35.94,$2.04,17.65
2013-06-30,37.26,$-6.49,0.0
2013-03-31,37.39,$-9.64,0.0
2012-12-31,34.25,$-10.87,0.0
2012-09-30,32.81,$-14.21,0.0
2012-06-30,31.14,$-9.33,0.0
2012-03-31,32.61,$-24.44,0.0
2011-12-31,29.97,$-28.60,0.0
2011-09-30,28.07,$-29.64,0.0
2011-06-30,34.73,$-42.90,0.0
2011-03-31,33.99,$-38.59,0.0
2010-12-31,33.39,$-39.07,0.0
2010-09-30,32.78,$-49.72,0.0
2010-06-30,30.87,$-36.79,0.0
2010-03-31,30.99,$-18.53,0.0
