REX American Resources Price to Free Cash Flow Ratio Historical Data,REX American Resources Price to Free Cash Flow Ratio Historical Data,REX American Resources Price to Free Cash Flow Ratio Historical Data,REX American Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.66,,20.7
2024-10-31,44.73,$1.77,25.25
2024-07-31,50.81,$3.28,15.47
2024-04-30,55.33,$4.65,11.9
2024-01-31,41.39,$5.14,8.05
2023-10-31,38.01,$2.02,18.8
2023-07-31,37.02,$2.26,16.4
2023-04-30,28.29,$2.25,12.55
2023-01-31,32.72,$2.22,14.71
2022-10-31,29.99,$4.91,6.11
2022-07-31,31.82,$3.90,8.15
2022-04-30,28.21,$3.07,9.18
2022-01-31,32.14,$4.83,6.66
2021-10-31,29.32,$1.68,17.45
2021-07-31,27.33,$1.50,18.25
2021-04-30,26.91,$0.85,31.63
2021-01-31,25.5,$-0.09,0.0
2020-10-31,24.23,$1.42,17.1
2020-07-31,22.72,$-1.03,0.0
2020-04-30,19.83,$0.04,546.19
2020-01-31,25.12,$0.35,72.49
2019-10-31,26.97,$0.57,47.39
2019-07-31,24.87,$1.86,13.33
2019-04-30,28.17,$2.30,12.22
2019-01-31,24.31,$1.92,12.64
2018-10-31,24.72,$1.21,20.46
2018-07-31,25.67,$1.54,16.62
2018-04-30,24.93,$0.38,65.0
2018-01-31,27.22,$0.86,31.58
2017-10-31,29.39,$2.03,14.48
2017-07-31,33.33,$2.66,12.54
2017-04-30,31.56,$3.51,8.99
2017-01-31,27.68,$2.85,9.7
2016-10-31,26.33,$2.12,12.44
2016-07-31,21.93,$1.43,15.31
2016-04-30,18.12,$0.53,34.32
2016-01-31,17.81,$1.22,14.62
2015-10-31,18.3,$1.58,11.56
2015-07-31,17.21,$2.85,6.04
2015-04-30,21.07,$4.40,4.79
2015-01-31,18.5,$5.30,3.49
2014-10-31,24.25,$5.41,4.48
2014-07-31,28.12,$4.88,5.76
2014-04-30,21.79,$3.56,6.12
2014-01-31,13.65,$2.84,4.8
2013-10-31,9.61,$1.95,4.93
2013-07-31,12.13,$0.87,13.89
2013-04-30,6.23,$0.87,7.19
2013-01-31,7.28,$0.65,11.14
2012-10-31,5.87,$0.77,7.58
2012-07-31,5.88,$0.81,7.25
2012-04-30,9.25,$1.00,9.28
2012-01-31,8.57,$1.16,7.38
2011-10-31,6.08,$1.19,5.12
2011-07-31,5.74,$0.94,6.1
2011-04-30,5.76,$0.89,6.48
2011-01-31,5.02,$1.01,4.95
2010-10-31,5.53,$1.25,4.43
2010-07-31,5.35,$1.11,4.8
2010-04-30,5.72,$0.14,39.81
2010-01-31,5.03,$-0.70,0.0
2009-10-31,4.12,$-4.33,0.0
