City Office REIT Price to Free Cash Flow Ratio Historical Data,City Office REIT Price to Free Cash Flow Ratio Historical Data,City Office REIT Price to Free Cash Flow Ratio Historical Data,City Office REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.08,,7.14
2024-12-31,5.52,$0.71,7.75
2024-09-30,5.74,$0.65,8.82
2024-06-30,4.8,$0.82,5.88
2024-03-31,4.91,$0.71,6.88
2023-12-31,5.67,$0.52,10.95
2023-09-30,3.84,$0.51,7.61
2023-06-30,4.95,$0.44,11.21
2023-03-31,5.95,$1.47,4.05
2022-12-31,7.05,$1.61,4.37
2022-09-30,8.21,$13.38,0.61
2022-06-30,10.5,$14.34,0.73
2022-03-31,14.14,$13.65,1.04
2021-12-31,15.64,$15.77,0.99
2021-09-30,14.05,$4.03,3.48
2021-06-30,9.65,$3.25,2.97
2021-03-31,8.14,$3.03,2.68
2020-12-31,7.37,$0.85,8.72
2020-09-30,5.56,$1.31,4.26
2020-06-30,7.32,$1.08,6.79
2020-03-31,5.15,$1.50,3.43
2019-12-31,9.47,$1.82,5.22
2019-09-30,9.9,$1.45,6.84
2019-06-30,8.1,$1.41,5.73
2019-03-31,7.48,$0.90,8.34
2018-12-31,6.64,$2.75,2.42
2018-09-30,8.02,$2.99,2.68
2018-06-30,8.01,$3.15,2.55
2018-03-31,7.07,$3.81,1.85
2017-12-31,7.81,$1.55,5.04
2017-09-30,8.13,$1.80,4.51
2017-06-30,7.5,$1.86,4.03
2017-03-31,7.04,$2.68,2.63
2016-12-31,7.48,$2.64,2.84
2016-09-30,7.1,$2.02,3.52
2016-06-30,7.11,$1.98,3.58
2016-03-31,6.11,$0.52,11.74
2015-12-31,6.41,$0.70,9.14
2015-09-30,5.85,$0.73,8.06
2015-06-30,6.39,$0.62,10.24
2015-03-31,6.44,$0.61,10.62
