Ampco-Pittsburgh Price to Free Cash Flow Ratio Historical Data,Ampco-Pittsburgh Price to Free Cash Flow Ratio Historical Data,Ampco-Pittsburgh Price to Free Cash Flow Ratio Historical Data,Ampco-Pittsburgh Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.16,,18.46
2024-09-30,2.0,$0.12,17.09
2024-06-30,0.77,$-0.67,0.0
2024-03-31,2.17,$-0.73,0.0
2023-12-31,2.73,$-1.22,0.0
2023-09-30,2.63,$-1.78,0.0
2023-06-30,3.18,$-1.59,0.0
2023-03-31,2.45,$-1.64,0.0
2022-12-31,2.51,$-2.26,0.0
2022-09-30,3.68,$-2.50,0.0
2022-06-30,3.87,$-2.72,0.0
2022-03-31,6.31,$-2.63,0.0
2021-12-31,5.0,$-1.63,0.0
2021-09-30,4.7,$-1.04,0.0
2021-06-30,6.07,$-0.81,0.0
2021-03-31,6.75,$0.87,7.77
2020-12-31,5.48,$1.74,3.15
2020-09-30,3.29,$2.02,1.63
2020-06-30,3.07,$1.92,1.6
2020-03-31,2.5,$0.39,6.34
2019-12-31,3.01,$-1.13,0.0
2019-09-30,3.68,$-0.95,0.0
2019-06-30,4.03,$-0.38,0.0
2019-03-31,3.3,$0.02,148.65
2018-12-31,3.1,$-0.19,0.0
2018-09-30,5.9,$-0.97,0.0
2018-06-30,10.25,$-2.00,0.0
2018-03-31,8.9,$-2.79,0.0
2017-12-31,12.4,$-2.60,0.0
2017-09-30,17.4,$-1.91,0.0
2017-06-30,14.75,$-1.32,0.0
2017-03-31,13.98,$-1.55,0.0
2016-12-31,16.56,$-1.36,0.0
2016-09-30,10.87,$-0.59,0.0
2016-06-30,11.01,$-0.34,0.0
2016-03-31,13.48,$0.59,22.7
2015-12-31,9.75,$1.06,9.18
2015-09-30,10.21,$0.82,12.46
2015-06-30,13.98,$1.08,12.93
2015-03-31,15.97,$0.94,16.96
2014-12-31,17.44,$0.64,27.22
2014-09-30,17.94,$0.65,27.63
2014-06-30,20.41,$0.60,34.18
2014-03-31,16.64,$1.62,10.25
2013-12-31,16.98,$2.50,6.81
2013-09-30,15.49,$2.67,5.81
2013-06-30,16.08,$2.16,7.43
2013-03-31,16.03,$1.17,13.67
2012-12-31,16.79,$1.52,11.06
2012-09-30,15.35,$-0.24,0.0
2012-06-30,15.1,$0.67,22.5
2012-03-31,16.43,$1.31,12.58
2011-12-31,15.65,$0.63,24.99
2011-09-30,16.42,$2.34,7.02
2011-06-30,18.69,$2.02,9.25
2011-03-31,21.82,$1.16,18.75
2010-12-31,22.05,$0.77,28.55
2010-09-30,19.38,$-1.57,0.0
2010-06-30,16.13,$-1.24,0.0
2010-03-31,19.08,$-0.90,0.0
2009-12-31,24.1,$0.04,578.0
