Park Aerospace Price to Free Cash Flow Ratio Historical Data,Park Aerospace Price to Free Cash Flow Ratio Historical Data,Park Aerospace Price to Free Cash Flow Ratio Historical Data,Park Aerospace Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.69,,32.17
2024-11-30,15.31,$0.43,35.98
2024-08-31,13.38,$0.37,35.85
2024-05-31,13.68,$0.17,82.65
2024-02-29,14.82,$0.18,80.32
2023-11-30,14.56,$0.13,111.05
2023-08-31,13.05,$0.23,56.29
2023-05-31,12.43,$0.27,46.83
2023-02-28,14.4,$0.27,54.18
2022-11-30,11.51,$0.27,42.65
2022-08-31,9.92,$0.05,194.99
2022-05-31,10.42,$0.06,169.44
2022-02-28,11.78,$0.19,62.98
2021-11-30,10.87,$0.11,102.74
2021-08-31,12.2,$0.18,66.03
2021-05-31,12.81,$0.29,44.79
2021-02-28,11.46,$0.27,42.51
2020-11-30,10.42,$0.17,61.34
2020-08-31,9.0,$0.18,48.86
2020-05-31,9.75,$-0.01,0.0
2020-02-29,11.09,$-0.08,0.0
2019-11-30,12.19,$-0.39,0.0
2019-08-31,12.56,$-0.09,0.0
2019-05-31,11.04,$0.28,38.77
2019-02-28,12.77,$0.23,54.77
2018-11-30,10.59,$0.43,24.6
2018-08-31,12.65,$0.24,52.08
2018-05-31,12.17,$0.00,0.0
2018-02-28,9.96,$0.14,73.04
2017-11-30,9.6,$0.35,27.08
2017-08-31,9.08,$0.27,33.34
2017-05-31,8.4,$0.35,23.77
2017-02-28,9.45,$0.65,14.6
2016-11-30,8.91,$0.76,11.67
2016-08-31,8.09,$0.91,8.88
2016-05-31,7.94,$1.27,6.24
2016-02-29,6.87,$0.67,10.31
2015-11-30,8.39,$0.80,10.48
2015-08-31,8.39,$0.70,12.06
2015-05-31,10.18,$0.73,14.01
2015-02-28,10.24,$1.36,7.52
2014-11-30,10.82,$1.34,8.06
2014-08-31,12.33,$1.67,7.39
2014-05-31,11.72,$1.57,7.48
2014-02-28,12.39,$1.41,8.8
2013-11-30,11.79,$1.33,8.89
2013-08-31,10.54,$1.18,8.95
2013-05-31,9.51,$1.05,9.09
2013-02-28,9.93,$0.86,11.56
2012-11-30,8.68,$0.97,8.95
2012-08-31,9.21,$1.00,9.2
2012-05-31,8.29,$1.00,8.31
2012-02-29,10.0,$1.32,7.58
2011-11-30,9.59,$1.34,7.17
2011-08-31,8.62,$1.67,5.15
2011-05-31,10.45,$1.96,5.32
2011-02-28,11.0,$1.93,5.7
2010-11-30,9.14,$1.82,5.01
2010-08-31,7.94,$1.29,6.17
2010-05-31,8.56,$1.07,8.03
2010-02-28,8.96,$0.99,9.09
2009-11-30,7.77,$1.80,4.32
