Consolidated Communications Holdings Price to Free Cash Flow Ratio Historical Data,Consolidated Communications Holdings Price to Free Cash Flow Ratio Historical Data,Consolidated Communications Holdings Price to Free Cash Flow Ratio Historical Data,Consolidated Communications Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,4.66,,0.0
2024-09-30,4.64,$-2.92,0.0
2024-06-30,4.4,$-3.29,0.0
2024-03-31,4.32,$-3.63,0.0
2023-12-31,4.35,$-3.49,0.0
2023-09-30,3.42,$-3.83,0.0
2023-06-30,3.83,$-3.47,0.0
2023-03-31,2.58,$-3.34,0.0
2022-12-31,3.58,$-3.34,0.0
2022-09-30,4.16,$-3.65,0.0
2022-06-30,7.0,$-3.39,0.0
2022-03-31,5.9,$-2.77,0.0
2021-12-31,7.48,$-1.81,0.0
2021-09-30,9.19,$-0.48,0.0
2021-06-30,8.79,$0.72,12.25
2021-03-31,7.2,$1.78,4.04
2020-12-31,4.89,$2.12,2.3
2020-09-30,5.69,$2.74,2.07
2020-06-30,6.77,$2.19,3.09
2020-03-31,4.55,$2.03,2.24
2019-12-31,3.88,$1.72,2.26
2019-09-30,4.76,$1.62,2.95
2019-06-30,4.93,$1.43,3.44
2019-03-31,10.55,$1.51,6.97
2018-12-31,9.22,$1.62,5.68
2018-09-30,11.77,$1.52,7.74
2018-06-30,10.84,$0.79,13.69
2018-03-31,9.28,$0.47,19.82
2017-12-31,10.02,$0.49,20.36
2017-09-30,15.38,$0.36,42.45
2017-06-30,16.95,$1.50,11.3
2017-03-31,18.2,$0.34,54.19
2016-12-31,20.57,$0.51,40.66
2016-09-30,19.03,$0.98,19.49
2016-06-30,20.26,$0.66,30.55
2015-12-31,15.03,$1.97,7.63
2015-09-30,13.55,$2.65,5.11
2015-06-30,14.5,$2.52,5.75
2015-03-31,13.82,$2.84,4.86
2014-12-31,18.55,$2.79,6.65
2016-03-31,18.85,$2.09,9.02
2014-09-30,16.43,$1.91,8.61
2014-06-30,14.34,$2.10,6.84
2014-03-31,12.64,$1.83,6.91
2013-12-31,12.16,$1.44,8.43
2013-09-30,10.45,$1.82,5.73
2013-06-30,10.32,$0.66,15.57
2013-03-31,10.18,$1.19,8.57
2012-12-31,9.03,$1.36,6.63
2012-09-30,9.53,$1.43,6.68
2012-06-30,8.02,$2.60,3.08
2012-03-31,10.42,$2.67,3.91
2011-12-31,9.9,$2.99,3.31
2011-09-30,9.19,$3.00,3.06
2011-06-30,9.7,$2.74,3.54
2011-03-31,9.14,$2.80,3.27
2010-12-31,9.24,$2.52,3.67
2010-09-30,8.76,$2.42,3.62
2010-06-30,7.8,$2.76,2.83
2010-03-31,8.53,$2.66,3.2
2009-12-31,7.69,$2.54,3.03
