Open Text Price to Free Cash Flow Ratio Historical Data,Open Text Price to Free Cash Flow Ratio Historical Data,Open Text Price to Free Cash Flow Ratio Historical Data,Open Text Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.39,,10.46
2024-12-31,28.32,$2.52,11.22
2024-09-30,33.0,$2.49,13.23
2024-06-30,29.54,$2.97,9.96
2024-03-31,37.86,$2.77,13.68
2023-12-31,40.71,$2.62,15.51
2023-09-30,33.79,$2.10,16.06
2023-06-30,39.75,$2.42,16.4
2023-03-31,36.67,$2.86,12.8
2022-12-31,28.0,$2.87,9.74
2022-09-30,24.77,$3.03,8.18
2022-06-30,35.08,$3.27,10.73
2022-03-31,39.1,$3.47,11.25
2021-12-31,43.56,$2.51,17.34
2021-09-30,44.5,$2.77,16.09
2021-06-30,46.2,$2.97,15.55
2021-03-31,43.21,$2.95,14.63
2020-12-31,40.99,$3.93,10.44
2020-09-30,37.91,$3.61,10.51
2020-06-30,37.98,$3.24,11.71
2020-03-31,31.09,$3.08,10.1
2019-12-31,39.07,$2.92,13.36
2019-09-30,36.04,$2.90,12.41
2019-06-30,36.22,$3.01,12.03
2019-03-31,33.64,$2.89,11.64
2018-12-31,28.42,$2.80,10.14
2018-09-30,33.16,$2.66,12.46
2018-06-30,30.56,$2.25,13.56
2018-03-31,30.09,$1.90,15.85
2017-12-31,30.73,$1.47,20.87
2017-09-30,27.7,$1.33,20.85
2017-06-30,26.95,$1.41,19.17
2017-03-31,28.94,$1.48,19.59
2016-12-31,26.21,$1.70,15.42
2016-09-30,27.4,$1.77,15.44
2016-06-30,24.9,$1.87,13.34
2016-03-31,21.72,$1.94,11.2
2015-12-31,20.01,$1.77,11.32
2015-09-30,18.61,$1.68,11.07
2015-06-30,16.78,$1.81,9.25
2015-03-31,21.79,$1.86,11.72
2014-12-31,23.93,$1.86,12.86
2014-09-30,22.7,$1.69,13.4
2014-06-30,19.58,$1.55,12.59
2014-03-31,19.41,$1.28,15.11
2013-12-31,18.65,$1.22,15.29
2013-09-30,15.09,$1.31,11.51
2013-06-30,13.78,$1.25,11.02
2013-03-31,11.83,$1.33,8.91
2012-12-31,11.2,$1.25,8.97
2012-09-30,11.05,$1.11,10.0
2012-06-30,10.0,$1.02,9.76
2012-03-31,12.25,$0.88,13.95
2011-12-31,10.25,$0.79,12.99
2011-09-30,10.44,$0.77,13.48
2011-06-30,12.83,$0.80,16.11
2011-03-31,12.49,$0.88,14.15
2010-12-31,9.23,$0.91,10.2
2010-09-30,9.43,$0.89,10.59
2010-06-30,7.52,$0.69,10.83
2010-03-31,9.51,$1.20,7.95
2009-12-31,8.14,$0.87,9.32
