Energizer Holdings Price to Free Cash Flow Ratio Historical Data,Energizer Holdings Price to Free Cash Flow Ratio Historical Data,Energizer Holdings Price to Free Cash Flow Ratio Historical Data,Energizer Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.88,,9.52
2024-12-31,34.89,$3.14,11.11
2024-09-30,31.51,$4.66,6.76
2024-06-30,29.02,$3.79,7.65
2024-03-31,28.64,$4.27,6.7
2023-12-31,30.52,$4.68,6.52
2023-09-30,30.57,$4.68,6.53
2023-06-30,31.76,$4.91,6.47
2023-03-31,32.54,$3.72,8.74
2022-12-31,31.2,$2.20,14.21
2022-09-30,23.17,$-1.09,0.0
2022-06-30,25.87,$-0.27,0.0
2022-03-31,27.8,$-0.31,0.0
2021-12-31,35.93,$-0.35,0.0
2021-09-30,34.71,$1.75,19.79
2021-06-30,37.91,$1.64,23.15
2021-03-31,41.59,$3.61,11.54
2020-12-31,36.73,$3.88,9.47
2020-09-30,33.84,$4.57,7.41
2020-06-30,40.79,$4.38,9.31
2020-03-31,25.8,$2.55,10.12
2019-12-31,42.59,$1.15,37.12
2019-09-30,36.74,$1.41,26.14
2019-06-30,32.32,$0.13,241.34
2019-03-31,37.33,$0.71,52.78
2018-12-31,37.27,$3.10,12.03
2018-09-30,48.41,$3.43,14.11
2018-06-30,51.73,$3.59,14.41
2018-03-31,48.7,$3.47,14.02
2017-12-31,39.01,$3.94,9.91
2017-09-30,37.21,$3.18,11.69
2017-06-30,38.54,$3.14,12.29
2017-03-31,44.51,$2.98,14.96
2016-12-31,35.44,$2.64,13.44
2016-09-30,39.43,$2.67,14.79
2016-06-30,40.44,$4.15,9.73
