Territorial Bancorp Price to Free Cash Flow Ratio Historical Data,Territorial Bancorp Price to Free Cash Flow Ratio Historical Data,Territorial Bancorp Price to Free Cash Flow Ratio Historical Data,Territorial Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.19,,0.0
2024-09-30,10.43,$-0.60,0.0
2024-06-30,8.08,$-0.13,0.0
2024-03-31,8.03,$0.27,29.88
2023-12-31,11.05,$0.87,12.68
2023-09-30,8.95,$0.97,9.23
2023-06-30,11.85,$1.54,7.72
2023-03-31,18.22,$1.57,11.61
2022-12-31,22.45,$1.34,16.76
2022-09-30,17.06,$1.35,12.68
2022-06-30,18.99,$1.21,15.75
2022-03-31,21.63,$0.77,28.09
2021-12-31,22.55,$1.33,16.89
2021-09-30,22.38,$1.86,12.05
2021-06-30,22.7,$1.72,13.22
2021-03-31,22.92,$2.11,10.88
2020-12-31,20.53,$2.09,9.82
2020-09-30,17.12,$2.27,7.55
2020-06-30,19.93,$2.31,8.64
2020-03-31,20.36,$2.08,9.79
2019-12-31,25.47,$2.32,10.99
2019-09-30,22.98,$2.41,9.54
2019-06-30,24.76,$2.40,10.3
2019-03-31,21.56,$2.40,9.0
2018-12-31,20.65,$2.26,9.13
2018-09-30,23.13,$1.91,12.12
2018-06-30,24.01,$1.81,13.27
2018-03-31,22.83,$1.79,12.73
2017-12-31,23.6,$1.93,12.24
2017-09-30,23.75,$1.71,13.9
2017-06-30,23.24,$1.87,12.41
2017-03-31,23.07,$2.31,9.98
2016-12-31,24.16,$1.95,12.36
2016-09-30,20.82,$1.58,13.14
2016-06-30,19.11,$1.49,12.83
2016-03-31,18.68,$1.40,13.32
2015-12-31,19.75,$1.78,11.08
2015-09-30,18.36,$2.33,7.89
2015-06-30,16.99,$2.12,8.02
2015-03-31,16.53,$1.85,8.93
2014-12-31,14.88,$1.41,10.56
2014-09-30,13.84,$0.81,17.1
2014-06-30,14.14,$1.44,9.79
2014-03-31,14.52,$1.54,9.45
2013-12-31,15.5,$1.54,10.04
2013-09-30,14.53,$2.13,6.82
2013-06-30,14.86,$1.80,8.25
2013-03-31,15.55,$1.10,14.13
2012-12-31,14.86,$1.65,9.02
2012-09-30,14.78,$1.53,9.63
2012-06-30,14.6,$1.85,7.9
2012-03-31,13.27,$2.01,6.59
2011-12-31,12.54,$1.73,7.26
2011-09-30,12.1,$1.23,9.83
2011-06-30,13.03,$0.73,17.75
2011-03-31,12.47,$0.81,15.32
2010-12-31,12.42,$0.81,15.36
2010-09-30,10.46,$0.71,14.69
2010-06-30,11.73,$1.22,9.6
