Equinix Price to Free Cash Flow Ratio Historical Data,Equinix Price to Free Cash Flow Ratio Historical Data,Equinix Price to Free Cash Flow Ratio Historical Data,Equinix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,851.72,,877.61
2024-12-31,942.89,$0.97,971.55
2024-09-30,883.45,$-0.86,0.0
2024-06-30,749.14,$1.12,669.77
2024-03-31,812.82,$-2.28,0.0
2023-12-31,789.33,$1.37,575.23
2023-09-30,707.94,$0.82,861.98
2023-06-30,760.72,$2.94,258.93
2023-03-31,696.28,$6.00,116.13
2022-12-31,629.47,$7.48,84.14
2022-09-30,544.07,$11.58,47.0
2022-06-30,625.69,$9.44,66.27
2022-03-31,702.89,$4.33,162.51
2021-12-31,798.23,$-2.19,0.0
2021-09-30,742.97,$-2.05,0.0
2021-06-30,752.09,$-3.53,0.0
2021-03-31,634.28,$-1.61,0.0
2020-12-31,663.67,$1.83,363.24
2020-09-30,703.88,$1.39,507.12
2020-06-30,648.14,$1.37,473.61
2020-03-31,574.05,$1.51,380.02
2019-12-31,534.24,$1.21,439.96
2019-09-30,525.64,$-1.70,0.0
2019-06-30,457.5,$-3.44,0.0
2019-03-31,409.04,$-4.20,0.0
2018-12-31,316.41,$-5.62,0.0
2018-09-30,386.2,$-3.12,0.0
2018-06-30,381.51,$0.19,1976.76
2018-03-31,368.89,$-0.30,0.0
2017-12-31,397.54,$0.17,2337.12
2017-09-30,389.85,$-0.95,0.0
2017-06-30,373.22,$10.37,36.01
2017-03-31,346.59,$11.24,30.82
2016-12-31,307.74,$10.30,29.88
2016-09-30,308.55,$10.23,30.17
2016-06-30,330.51,$-1.81,0.0
2016-03-31,280.48,$-2.24,0.0
2015-12-31,254.97,$-0.20,0.0
2015-09-30,220.34,$-0.06,0.0
2015-06-30,203.36,$1.08,187.55
2015-03-31,185.25,$0.10,1948.0
2014-12-31,179.08,$0.24,754.64
2014-09-30,167.82,$0.18,951.37
2014-06-30,165.93,$-1.67,0.0
2014-03-31,145.99,$-0.08,0.0
2013-12-31,140.15,$-0.84,0.0
2013-09-30,145.05,$-0.78,0.0
2013-06-30,145.9,$-2.02,0.0
2013-03-31,170.85,$-2.49,0.0
2012-12-31,162.86,$-3.03,0.0
2012-09-30,162.74,$-2.53,0.0
2012-06-30,138.73,$-0.47,0.0
2012-03-31,124.36,$-1.48,0.0
2011-12-31,80.09,$-2.63,0.0
2011-09-30,70.16,$-3.43,0.0
2011-06-30,79.79,$-3.95,0.0
2011-03-31,71.95,$-4.96,0.0
2010-12-31,64.18,$-4.49,0.0
2010-09-30,80.84,$-4.04,0.0
2010-06-30,64.15,$-3.11,0.0
2010-03-31,76.88,$-0.85,0.0
2009-12-31,83.84,$-0.35,0.0
